MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM101Z,,,,,,QTY,1279,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"쉬 폰
LINING",611,OT,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
,668,MG,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)",611,OT,,,WH,,,"58""",,0.06,Y,36.66,,,Y,2026-02-11 00:00:00,37,Y,0.3400000000000034,,,,,다경섬유,,,02/11 Ship Send,
,668,MG,,,WH,,,,,0.06,Y,40.08,,,Y,,40,Y,-0.0799999999999983,,,,,,,,,
"심 지
INTERLINING
(M-252)",611,OT,,,,,,"44""",정요척,,Y,0,,,Y,,,R,0,,,,,다경섬유,,,,
,668,MG,,,,,,,정요척,,Y,0,,,Y,,,R,0,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",611,OT,,,,,,5MM,,11,Y,134.42,,,Y,2026-02-11 00:00:00,135,R,0.5800000000000125,,,,,다 남,,,02/11 Ship Send,
,668,MG,,,,,,,,11,Y,146.96,,,Y,,147,R,0.03999999999999204,,,,,,,,,
"(실크) 다데테이프
EDEG TAPE",611,OT,,,,,,20MM,,1.3,Y,15.886000000000001,,,Y,2026-02-11 00:00:00,16,R,0.11399999999999899,,,,,다 남,,,02/11 Ship Send,
,668,MG,,,,,,,,1.3,Y,17.368,,,Y,,18,R,0.6320000000000014,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",611,OT,,,,,,10MM,,1.8,Y,10.998,,,Y,,,R,-10.998,,,,,다 남,,,,
,668,MG,,,,,,,,1.8,Y,12.024000000000001,,,Y,,,R,-12.024000000000001,,,,,,,,,
"비바테이프
EDEG TAPE",611,OT,,,,,,10MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,668,MG,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",611,OT,,,OT,,,2500M,,130,M,31.772,,,C,2026-02-11 00:00:00,32,C,0.22800000000000153,,,,,다 남,,,02/11 Ship Send,
,668,MG,,,MG,,,,,130,M,34.736,,,C,,35,C,0.2640000000000029,,,,,,,,,
"오바사(가당사)
60S/3H               THREAD",611,OT,,,OT,,,4000M,,50,M,7.6375,,,C,,8,C,0.3624999999999998,,,,,다 남,,,,
,668,MG,,,MG,,,,,50,M,8.35,,,C,,9,C,0.6500000000000004,,,,,,,,,
"지누이도
45S/3H               THREAD",611,OT,,,OT,,,6000M,,10,M,1.0183333333333333,,,C,,,C,-1.0183333333333333,,,,,다 남,,,,
,668,MG,,,MG,,,,,10,M,1.1133333333333333,,,C,,,C,-1.1133333333333333,,,,,,,,,
싸개PAD,611,OT,,,,,,2MM,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,668,MG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,611,OT,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,668,MG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",611,OT,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,다 남,,,,
,668,MG,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,,,,,
스토퍼,611,OT,,,,,,,,2,EA,1222,,,,2026-03-20 00:00:00,1222,Y,0,,,,,보타니,,,03/20 Ship Send,
,668,MG,,,,,,,,2,EA,1336,,,,,1336,Y,0,,,,,,,,,
겉단추,611,OT,,,,,,21MM,,5,EA,3055,,,EA,,3055,EA,0,,,,,보타니,,,,
,668,MG,,,,,,21MM,,5,EA,3340,,,EA,,3340,EA,0,,,,,,,,,
속단추,611,OT,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,668,MG,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
금속 앞단추,611,OT,,,,,,21MM,,4,SET,2444,,,EA,,,EA,-2444,,,,,보타니,,,,
,668,MG,,,,,,21MM,,4,SET,2672,,,EA,,,EA,-2672,,,,,,,,,
"이단마이깡
HOOK",611,OT,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,668,MG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,611,OT,,,,,,45MM,,0.96,YD,586.56,,,EA,,,EA,-586.56,,,,,하나,,,,
,668,MG,,,,,,,,0.96,YD,641.28,,,EA,,,EA,-641.28,,,,,,,,,
"단 추
후다, 뒤트임",611,OT,,,,,,18MM,,2,EA,1222,,,EA,,,EA,-1222,,,,,보타니,,,,
,668,MG,,,,,,,,2,EA,1336,,,EA,,,EA,-1336,,,,,,,,,
E-스트링,611,,,,,,,,,1.2,Y,733.1999999999999,,,,2026-02-11 00:00:00,733,Y,-0.1999999999999318,,,,,한일,,,02/11 Ship Send,
,668,,,,,,,,,1.2,Y,801.6,,,,,802,Y,0.39999999999997726,,,,,,,,,
핸드메이드 라벨,1279,FREE,,,,,,,,1,EA,1279,,,EA,2026-02-11 00:00:00,1279,EA,0,,,,,본 사,,,02/11 Ship Send,
"MAIN+SIZE
LABEL
메인라벨",710,,,,,,,,,1,EA,710,,,EA,2026-02-11 00:00:00,710,EA,0,,,,,본 사,,,02/11 Ship Send,
,480,,,,,,,,,1,EA,480,,,EA,,480,EA,0,,,,,,,,,
,89,,,,,,,,,1,EA,89,,,EA,,89,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",350,OT,,,,,,,,1,EA,350,,,EA,2026-02-11 00:00:00,350,EA,0,,,,,본 사,,,02/11 Ship Send,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,31,,,,,,,,,1,EA,31,,,EA,,31,EA,0,,,,,,,,,
,360,MG,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,본 사,,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,58,,,,,,,,,1,EA,58,,,EA,,58,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),350,OT,,,,,,,,1,EA,350,,,EA,2026-04-15 00:00:00,350,EA,0,,,,,대화라벨,,,04/15 Ship Send,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,31,,,,,,,,,1,EA,31,,,EA,,31,EA,0,,,,,,,,,
,360,MG,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,대화라벨, ,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,58,,,,,,,,,1,EA,58,,,EA,,58,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",710,FREE,,,,,,,,1,EA,710,,,EA,2026-02-11 00:00:00,710,EA,0,,,,,대화라벨,,,02/11 Ship Send,
,480,,,,,,,,,1,EA,480,,,EA,,480,EA,0,,,,,,,,,
,89,,,,,,,,,1,EA,89,,,EA,,89,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1279,FREE,,,,,,,,1,EA,1279,,,EA,2026-02-11 00:00:00,1279,EA,0,,,,,본 사,,,02/11 Ship Send,
품질보증택,1279,FREE,,,,,,,,1,EA,1279,,,EA,,1279,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1279,FREE,,,,,,55*85,,1,EA,1279,,,EA,,1349,EA,70,,,,,본 사,,,,
