MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM101Z,,,,,,QTY,1279,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
OT,,350,230.0,31.0,,,국내,611,,,,,,,,,,,,,,,,,,,,
MG,,360,250.0,58.0,,,,668,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-05 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,710,480.0,89.0,0,0.0,,1279,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,724.2,489.6,90.78,0,0.0,,1304.58,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,611,OT,,,,,,"57""",정요척,0.8,Y,488.8,,,Y,2026-02-07 00:00:00,489.3,Y,0.5,,,,,성 주,,,02/07 China Ship Send,
,668,MG,,,,,,"57""",정요척,0.8,Y,534.4,,,Y,,534.9,Y,0.5,,,,,,,,,
"(싸개패드)
다후다",611,OT,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,668,MG,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"트윌
LINING
해리,주머니감",611,OT,,,,,,"44""",정요척,0.17,Y,103.87,,,Y,2026-02-11 00:00:00,104,Y,0.12999999999999545,,,,,성 보,,,02/11 Ship Send,
,668,MG,,,,,,,정요척,0.17,Y,113.56,,,Y,,114,Y,0.4399999999999977,,,,,,,,,
