MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP102Z-1,,,,,,QTY,987,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
CR,,200,124.0,,,,국내,324,,,,,,,,,,,,,,,,,,,,
LB,,200,122.0,,,,,322,,,,,,,,,,,,,,,,,,,,
DG,,200,141.0,,,,,341,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,600,387.0,0.0,0,0.0,,987,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-09-02 00:00:00,,,
라벨발주 1.02%,,612,394.74,0.0,0,0.0,,1006.74,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉단추,324,CR,,,,,,23MM,,1,EA,324,,,EA,,,EA,-324,,,,,보타니,,,,
,322,LB,,,,,,23MM,,1,EA,322,,,EA,,,EA,-322,,,,,,,,,
,341,DG,,,,,,23MM,,1,EA,341,,,EA,,,EA,-341,,,,,,,,,
속단추,324,CR,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,322,LB,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
금속 앞단추,324,CR,,,,,,21MM,,4,SET,1296,,,EA,,,EA,-1296,,,,,보타니,,,,
,322,LB,,,,,,21MM,,4,SET,1288,,,EA,,,EA,-1288,,,,,,,,,
"이단마이깡
HOOK",324,CR,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,322,LB,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,324,CR,,,,,,45MM,,0.96,YD,311.03999999999996,,,EA,,,EA,-311.03999999999996,,,,,하나,,,,
,322,LB,,,,,,,,0.96,YD,309.12,,,EA,,,EA,-309.12,,,,,,,,,
"단 추
후다, 뒤트임",324,CR,,,,,,18MM,,2,EA,648,,,EA,,,EA,-648,,,,,보타니,,,,
,322,LB,,,,,,,,2,EA,644,,,EA,,,EA,-644,,,,,,,,,
E-스트링,324,,,,,,,,,1.2,Y,388.8,,,,,,Y,-388.8,,,,,한일,,,,
,322,,,,,,,,,1.2,Y,386.4,,,,,,Y,-386.4,,,,,,,,,
핸드메이드 라벨,987,FREE,,,,,,,,1,EA,987,,,EA,,,EA,-987,,,,,본 사,,,,
"MAIN+SIZE
LABEL
메인라벨",600,,,,,,,,,1,EA,600,,,EA,,,EA,-600,,,,,본 사,,,,
,387,,,,,,,,,1,EA,387,,,EA,,,EA,-387,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",200,CR,,,,,,,,1,EA,200,,,EA,2026-06-11 00:00:00,,EA,-200,,,,,본 사,,,,
,124,,,,,,,,,1,EA,124,,,EA,,,EA,-124,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,200,LB,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,본 사,,,,
,122,,,,,,,,,1,EA,122,,,EA,,,EA,-122,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,200,DG,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,본 사,,,,
,141,,,,,,,,,1,EA,141,,,EA,,,EA,-141,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),200,CR,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,본사,,,,
,124,,,,,,,,,1,EA,124,,,EA,,,EA,-124,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,200,LB,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,본사,,,,
