MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB63JKM105Z,,,,,,QTY,1114,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
WH,,300,250.0,32.0,,,국내,582,,,,,,,,,,,,,,,,,,,,
YE,,270,230.0,32.0,,,,532,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-10-14 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,570,480.0,64.0,0,0.0,,1114,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-02 00:00:00,,,
라벨발주 1.02%,,581.4,489.6,65.28,0,0.0,,1136.28,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",300,WH,,,,,,,,1,EA,300,,,EA,2025-10-29 00:00:00,300,EA,0,,,,,본 사,,,10/29 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,32,,,,,,,,,1,EA,32,,,EA,,32,EA,0,,,,,,,,,
,270,YE,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,본 사,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,32,,,,,,,,,1,EA,32,,,EA,,32,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),300,WH,,,,,,,,1,EA,300,,,EA,2025-11-16 00:00:00,300,EA,0,,,,,대화라벨,,,11/16 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,32,,,,,,,,,1,EA,32,,,EA,,32,EA,0,,,,,,,,,
,270,YE,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,32,,,,,,,,,1,EA,32,,,EA,,32,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",570,FREE,,,,,,,,1,EA,570,,,EA,2025-10-29 00:00:00,570,EA,0,,,,,다 남,,,10/29 Ship Send,
,480,,,,,,,,,1,EA,480,,,EA,,480,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1114,FREE,,,,,,,,1,EA,1114,,,EA,2025-10-29 00:00:00,1114,EA,0,,,,,본 사,,,10/29 Ship Send,
품질보증택,1114,FREE,,,,,,,,1,EA,1114,,,EA,,1114,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1114,FREE,,,,,,,,1,EA,1114,,,EA,,1150,EA,36,,,,,본 사,,,,
