MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB65SLP121Z,,,,,,QTY,1339,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,746,BK,,,,,,,정요척,0.26,Y,193.96,,,Y,,194,Y,0.03999999999999204,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"쉬 폰
LINING",593,CR,,,,,,"44""",정요척,0.78,Y,462.54,,,Y,,,Y,-462.54,,,,,성 보,,,,
,746,BK,,,,,,,정요척,0.78,Y,581.88,,,Y,,,Y,-581.88,,,,,,,,,
"심 지
INTERLINING
(M-250)",593,CR,,,,,,"58""",정요척,0.09,Y,53.37,,,Y,2025-10-29 00:00:00,53,Y,-0.36999999999999744,,,,,다경섬유,,,10/29 Ship Send,
,746,BK,,,,,,,정요척,0.09,Y,67.14,,,Y,,67,Y,-0.14000000000000057,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)",593,CR,,,,,,"44""",정요척,0.2,Y,118.60000000000001,,,Y,,119,R,0.3999999999999915,,,,,다경섬유,,,,
,746,BK,,,,,,,정요척,0.2,Y,149.20000000000002,,,Y,,149,R,-0.20000000000001705,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",593,CR,,,,,,8MM,,3.3,Y,19.569,,,Y,,,R,-19.569,,,,,다 남,,,,
,746,BK,,,,,,,,3.3,Y,24.618,,,Y,,,R,-24.618,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",593,CR,,,,,,10MM,,3.5,Y,41.51,,,Y,2025-10-29 00:00:00,42,R,0.490000000000002,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,,,,,,3.5,Y,52.22,,,Y,,53,R,0.7800000000000011,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"비바테이프
EDEG TAPE",593,CR,,,,,,10MM,,2.4,Y,28.464000000000002,,,Y,,,R,-28.464000000000002,,,,,다 남,,,,
,746,BK,,,,,,,,2.4,Y,35.808,,,Y,,,R,-35.808,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",593,CR,,,CR,,,2500M,,130,M,30.836,,,C,2025-10-29 00:00:00,31,C,0.16400000000000148,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,BK,,,,,130,M,38.792,,,C,,39,C,0.2079999999999984,,,,,,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"오바사
60S/3H               THREAD",593,CR,,,CR,,,4000M,,220,M,32.615,,,C,2025-10-29 00:00:00,33,C,0.384999999999998,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,BK,,,,,220,M,41.03,,,C,,42,C,0.9699999999999989,,,,,,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
스쿠이사            THREAD,593,CR,,,CR,,,3000M,,10,M,1.9766666666666666,,,C,2025-10-29 00:00:00,2,C,0.023333333333333428,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,BK,,,,,10,M,2.486666666666667,,,C,,2,C,-0.4866666666666668,,,,,,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
싸개PAD,593,CR,,,,,,2MM,,1,SET,593,,,SET,,,SET,-593,,,,,신승이앤티,,,,
,746,BK,,,,,,,,1,SET,746,,,SET,,,SET,-746,,,,,,,,,
솜마꾸라지,593,CR,,,,,,,,1,SET,593,,,SET,,,SET,-593,,,,,신승이앤티,,,,
,746,BK,,,,,,,,1,SET,746,,,SET,,,SET,-746,,,,,,,,,
"양면 지퍼
ZIPPER",593,CR,,,,,,9MM,,1,EA,593,,,EA,2025-10-29 00:00:00,593,EA,0,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,,,,,,1,EA,746,,,EA,,746,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",593,CR,,,,,,,,1,SET,593,,,SET,2025-10-29 00:00:00,593,SET,0,,,,,다 남,,,10/29 Ship Send,
,746,BK,,,,,,,,1,SET,746,,,SET,,746,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"E-BAND
(헤링본밴드)",593,CR,,,,,,40MM,,0.6,YD,355.8,,,EA,,,EA,-355.8,,,,,하나,,,,
,746,BK,,,,,,,,0.6,YD,447.59999999999997,,,EA,,,EA,-447.59999999999997,,,,,,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(폴리이중직)",593,CR,,,,,,45MM,,0.6,YD,355.8,,,EA,,,EA,-355.8,,,,,하나,,,,
,746,BK,,,,,,,,0.6,YD,447.59999999999997,,,EA,,,EA,-447.59999999999997,,,,,,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
겉단추,593,CR,,,,,,21MM,,1,EA,593,,,EA,,,EA,-593,,,,,보타니,,,,
,746,BK,,,,,,21MM,,1,EA,746,,,EA,,,EA,-746,,,,,,,,,
속단추,593,CR,,,,,,18MM,,1,EA,593,,,EA,2025-10-29 00:00:00,593,EA,0,,,,,보타니,,,10/29 Ship Send,
,746,BK,,,,,,18MM,,1,EA,746,,,EA,,746,EA,0,,,,,,,,,
,0,0,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
금속단추,593,CR,,,,,,13MM,,1,EA,593,,,EA,,,EA,-593,,,,,보타니,,,,
,746,BK,,,,,,,,1,EA,746,,,EA,,,EA,-746,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
소매단추,593,CR,,,,,,11MM,,2,EA,1186,,,EA,,,EA,-1186,,,,,보타니,,,,
,746,BK,,,,,,11MM,,2,EA,1492,,,EA,,,EA,-1492,,,,,,,,,
,0,0,,,,,,11MM,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"쉐파고리
BUTTON LOOP",593,CR,,,,,,,,1,SET,593,,,EA,,,EA,-593,,,,,보타니,,,,
,746,BK,,,,,,,,1,SET,746,,,EA,,,EA,-746,,,,,,,,,
,0,0,,,,,,,,1,SET,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",593,CR,,,,,,10MM,,1,EA,593,,,EA,,,EA,-593,,,,,보타니,,,,
,746,BK,,,,,,,,1,EA,746,,,EA,,,EA,-746,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",593,CR,,,,,,23MM,,2,EA,1186,,,EA,,,EA,-1186,,,,,보타니,,,,
,746,BK,,,,,,,,2,EA,1492,,,EA,,,EA,-1492,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",600,,,,,,,,,1,EA,600,,,EA,2025-10-29 00:00:00,600,EA,0,,,,,본 사,,,10/29 Ship Send,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,179,,,,,,,,,1,EA,179,,,EA,,179,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",280,CR,,,,,,,,1,EA,280,,,EA,2025-10-29 00:00:00,280,EA,0,,,,,본 사,,,10/29 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,53,,,,,,,,,1,EA,53,,,EA,,53,EA,0,,,,,,,,,
,320,BK,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,300,,,,,,,,,1,EA,300,,,EA,,300,EA,0,,,,,,,,,
,126,,,,,,,,,1,EA,126,,,EA,,126,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),280,CR,,,,,,,,1,EA,280,,,EA,2025-12-05 00:00:00,280,EA,0,,,,,대화라벨,,,12/05 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,53,,,,,,,,,1,EA,53,,,EA,,53,EA,0,,,,,,,,,
,320,BK,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,300,,,,,,,,,1,EA,300,,,EA,,300,EA,0,,,,,,,,,
,126,,,,,,,,,1,EA,126,,,EA,,126,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",600,FREE,,,,,,,,1,EA,600,,,EA,2025-10-29 00:00:00,600,EA,0,,,,,다 남,,,10/29 Ship Send,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,179,,,,,,,,,1,EA,179,,,EA,,179,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1339,FREE,,,,,,,,1,EA,1339,,,EA,2025-10-29 00:00:00,1339,EA,0,,,,,본 사,,,10/29 Ship Send,
품질보증택,1339,FREE,,,,,,,,1,EA,1339,,,EA,,1339,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1339,FREE,,,,,,,,1,EA,1339,,,EA,,1400,EA,61,,,,,본 사,,,,
