MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM112Z,,,,,,QTY,584,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",270,DE,,,,,,,,1,EA,270,,,EA,2026-07-18 00:00:00,270,EA,0,,,,,본 사,,,인천선적,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),270,DE,,,,,,,,1,EA,270,,,EA,,,EA,-270,,,,,대화라벨,,,,
,250,,,,,,,,,1,EA,250,,,EA,,,EA,-250,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,,EA,-64,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",270,FREE,,,,,,,,1,EA,270,,,EA,2026-07-04 00:00:00,270,EA,0,,,,,다 남,,,인천선적,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",584,FREE,,,,,,,,1,EA,584,,,EA,2026-07-18 00:00:00,584,EA,0,,,,,본 사,,,인천선적,
품질보증택,584,FREE,,,,,,,,1,EA,584,,,EA,,584,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),584,FREE,,,,,,,,1,EA,584,,,EA,2026-07-04 00:00:00,584,EA,0,,,,,본 사,,,,
