MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM106Z,,,,,,QTY,1351,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"양면 지퍼
ZIPPER
앞여밈",681,GR,,,,,,"9""",,1,EA,681,,,EA,2026-07-04 00:00:00,681,EA,0,,,,,다 남,,,인천선적,
,670,BK,,,,,,,,1,EA,670,,,EA,,670,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK
앞여밈",681,GR,,,,,,,,1,SET,681,,,SET,,681,SET,0,,,,,다 남,,,,
,670,BK,,,,,,,,1,SET,670,,,SET,,670,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,681,GR,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,670,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"속단추
BUTTON
앞여밈",681,GR,,,,,,18MM,,1,EA,681,,,EA,,,EA,-681,,,,,보타니,,,,
,670,BK,,,,,,,,1,EA,670,,,EA,,,EA,-670,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",681,GR,,,,,,45MM,,0.56,YD,381.36,,,EA,,,EA,-381.36,,,,,하나,,,,
,670,BK,,,,,,,,0.56,YD,375.20000000000005,,,EA,,,EA,-375.20000000000005,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",681,GR,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,670,BK,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",681,GR,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,670,BK,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",530,,,,BK,,,사각/중,,1,EA,530,,,EA,2026-07-04 00:00:00,670,EA,140,,,,,본 사,,,인천선적,
,630,,,,GR,,,,,1,EA,630,,,EA,,,EA,-630,,,,,,,,,
,191,,,,,,,,,1,EA,191,,,EA,,,EA,-191,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",270,GR,,,,,,,,1,EA,270,,,EA,2026-06-27 00:00:00,,EA,-270,,,,,본 사,,,인천선적,
