MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM102Z,,,,,,QTY,552,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
겉단추,552,BK,,,,,,21MM,,1,EA,552,,,EA,,,EA,-552,,,,,보타니,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,552,BK,,,,,,18MM,,1,EA,552,,,EA,,,EA,-552,,,,,보타니,,,,
,0,0,,,,,,18MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",552,BK,,,,,,23MM,,2,EA,1104,,,EA,,,EA,-1104,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",552,BK,,,,,,18MM,,2,EA,1104,,,EA,,,EA,-1104,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",240,,,,,,,,,1,EA,240,,,EA,2025-12-05 00:00:00,240,EA,0,,,,,본 사,,,12/05 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,62,,,,,,,,,1,EA,62,,,EA,,62,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",240,BK,,,,,,,,1,EA,240,,,EA,2025-12-05 00:00:00,240,EA,0,,,,,본 사,,,12/05 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,62,,,,,,,,,1,EA,62,,,EA,,62,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),240,BK,,,,,,,,1,EA,240,,,EA,2026-01-23 00:00:00,240,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,62,,,,,,,,,1,EA,62,,,EA,,62,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",240,FREE,,,,,,,,1,EA,240,,,EA,2025-12-05 00:00:00,240,EA,0,,,,,다 남,,,12/05 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,62,,,,,,,,,1,EA,62,,,EA,,62,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",552,FREE,,,,,,,,1,EA,552,,,EA,2025-12-05 00:00:00,552,EA,0,,,,,본 사,,,12/05 Ship Send,
품질보증택,552,FREE,,,,,,,,1,EA,552,,,EA,,552,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),552,FREE,,,,,,46*120,,1,EA,552,,,EA,,552,EA,0,,,,,,,,,
