MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB65SLP102Z,,,,,,QTY,948,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"E-BAND
(헤링본밴드)",948,BK,,,,,,40MM,,0.6,YD,568.8,,,EA,,,EA,-568.8,,,,,하나,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(폴리이중직)",948,BK,,,,,,45MM,,0.6,YD,568.8,,,EA,,,EA,-568.8,,,,,하나,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,0.6,YD,0,,,EA,,,EA,0,,,,,,,,,
겉단추,948,BK,,,,,,21MM,,1,EA,948,,,EA,,,EA,-948,,,,,보타니,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,948,BK,,,,,,18MM,,1,EA,948,,,EA,2025-11-14 00:00:00,948,EA,0,,,,,보타니,,,11/14 Ship Send,
,0,0,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
금속단추,948,BK,,,,,,13MM,,1,EA,948,,,EA,,,EA,-948,,,,,보타니,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
소매단추,948,BK,,,,,,11MM,,2,EA,1896,,,EA,,,EA,-1896,,,,,보타니,,,,
,0,0,,,,,,11MM,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,11MM,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"쉐파고리
BUTTON LOOP",948,BK,,,,,,,,1,SET,948,,,EA,,,EA,-948,,,,,보타니,,,,
,0,0,,,,,,,,1,SET,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,SET,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",948,BK,,,,,,10MM,,1,EA,948,,,EA,,,EA,-948,,,,,보타니,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",948,BK,,,,,,23MM,,2,EA,1896,,,EA,,,EA,-1896,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",410,,,,,,,,,1,EA,410,,,EA,,410,EA,0,,,,,본 사,,,10/29 Ship Send,
,380,,,,,,,,,1,EA,380,,,EA,,380,EA,0,,,,,,,,,
,158,,,,,,,,,1,EA,158,,,EA,,158,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",410,BK,,,,,,,,1,EA,410,,,EA,,410,EA,0,,,,,본 사,,,10/29 Ship Send,
,380,,,,,,,,,1,EA,380,,,EA,,380,EA,0,,,,,,,,,
,158,,,,,,,,,1,EA,158,,,EA,,158,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),410,BK,,,,,,,,1,EA,410,,,EA,2025-12-05 00:00:00,410,EA,0,,,,,대화라벨,,,12/05 Ship Send,
