MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SLM107A,,,,,,QTY,1245,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"양면 지퍼
ZIPPER",622,DE,,,,,,"9""",,1,EA,622,,,EA,2026-03-20 00:00:00,641,EA,19,,,,,다 남,,,3/20 Ship Send,
,623,BK,,,,,,,,1,EA,623,,,EA,,623,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",622,DE,,,,,,,,1,SET,622,,,SET,,641,SET,19,,,,,다 남,,,,
,623,BK,,,,,,,,1,SET,623,,,SET,,623,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,622,DE,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,623,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,622,DE,,,,,,18MM,,1,EA,622,,,EA,2026-03-20 00:00:00,641,EA,19,,,,,보타니,,,3/20 Ship Send,
,623,BK,,,,,,,,1,EA,623,,,EA,,623,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"D링
(D-Ring)",622,DE,,,,,,12MM,,1,EA,622,,,EA,2026-03-20 00:00:00,641,EA,19,,,,,보타니,,,3/20 Ship Send,
,623,BK,,,,,,,,1,EA,623,,,EA,,623,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",622,DE,,,,,,45MM,,0.56,YD,348.32000000000005,,,EA,,,EA,-348.32000000000005,,,,,하나,,,,
,623,BK,,,,,,,,0.56,YD,348.88000000000005,,,EA,,,EA,-348.88000000000005,,,,,,,,,
