MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM124Z,,,,,,QTY,1407,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,M,0,,,C,,,C,0,,,,,,,,,
오버장식,697,BK,,,,,,,,1,SET,697,,,SET,,,SET,-697,,,,,한일,,,,
,710,IV,,,,,,,,1,SET,710,,,SET,,,SET,-710,,,,,,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",697,BK,,,,,,"9""",,1,EA,697,,,EA,2025-12-05 00:00:00,697,EA,0,,,,,다 남,,,12/05 Ship Send,
,710,IV,,,,,,"9""",,1,EA,710,,,EA,,710,EA,0,,,,,,,,,
,0,0,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",697,BK,,,,,,,,1,SET,697,,,SET,2025-12-05 00:00:00,697,SET,0,,,,,다 남,,,12/05 Ship Send,
,710,IV,,,,,,,,1,SET,710,,,SET,,710,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,697,BK,,,,,,21MM,,1,EA,697,,,EA,,,EA,-697,,,,,보타니,,,,
,710,IV,,,,,,21MM,,1,EA,710,,,EA,,,EA,-710,,,,,,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,697,BK,,,,,,18MM,,1,EA,697,,,EA,2025-12-05 00:00:00,697,EA,0,,,,,보타니,,,12/05 Ship Send,
,710,IV,,,,,,18MM,,1,EA,710,,,EA,,710,EA,0,,,,,,,,,
,0,0,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",697,BK,,,,,,40MM,,0.5,YD,348.5,,,EA,2025-12-05 00:00:00,350,EA,1.5,,,,,하나,,,12/05 Ship Send,
,710,IV,,,,,,,,0.5,YD,355,,,EA,,400,EA,45,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",697,BK,,,,,,55MM,,0.5,YD,348.5,,,EA,2025-12-05 00:00:00,350,EA,1.5,,,,,하나,,,12/05 Ship Send,
,710,IV,,,,,,,,0.5,YD,355,,,EA,,400,EA,45,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",697,BK,,,,,,18MM,,2,EA,1394,,,EA,,,EA,-1394,,,,,보타니,,,,
,710,IV,,,,,,,,2,EA,1420,,,EA,,,EA,-1420,,,,,,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",657,,,,,,,,,1,EA,657,,,EA,2025-12-05 00:00:00,657,EA,0,,,,,본 사,,,12/05 Ship Send,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,190,,,,,,,,,1,EA,190,,,EA,,190,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",317,BK,,,,,,,,1,EA,317,,,EA,2025-12-05 00:00:00,317,EA,0,,,,,본 사,,,12/05 Ship Send,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,100,EA,0,,,,,,,,,
,340,IV,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,90,,,,,,,,,1,EA,90,,,EA,,90,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",317,BK,,,,,,,,1,EA,317,,,EA,2026-01-28 00:00:00,317,EA,0,,,,,대화라벨,,,1/28 H/Carry Send,
