MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB62SLM104Z,,,,,,QTY,1098,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"다후다
LINING
해리,주머니감",576,BK,,,,,,"44""",정요척,0.26,Y,149.76,,,Y,2025-09-26 00:00:00,150,Y,0.2400000000000091,,,,,성 보,,,09/26 Ship Send,
,522,BE,,,,,,,정요척,0.26,Y,135.72,,,Y,,136,Y,0.28000000000000114,,,,,,,,,
"심 지
INTERLINING
(M-250)",576,BK,,,,,,"58""",정요척,0.12,Y,69.12,,,Y,2025-09-26 00:00:00,69,Y,-0.12000000000000455,,,,,다경섬유,,,09/26 Ship Send,
,522,BE,,,,,,,정요척,0.12,Y,62.64,,,Y,,63,Y,0.35999999999999943,,,,,,,,,
"심 지
INTERLINING
(M-252)",576,BK,,,,,,"44""",정요척,0.17,Y,97.92,,,Y,,98,R,0.0799999999999983,,,,,다경섬유,,,,
,522,BE,,,,,,,정요척,0.17,Y,88.74000000000001,,,Y,,89,R,0.2599999999999909,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",576,BK,,,,,,8MM,,1.8,Y,10.368,,,Y,,,R,-10.368,,,,,다 남,,,,
,522,BE,,,,,,,,1.8,Y,9.396,,,Y,,,R,-9.396,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",576,BK,,,,,,10MM,,3.5,Y,40.32,,,Y,2025-09-26 00:00:00,41,R,0.6799999999999997,,,,,다 남,,,09/26 Ship Send,
,522,BE,,,,,,,,3.5,Y,36.54,,,Y,,37,R,0.46000000000000085,,,,,,,,,
"비바테이프
EDEG TAPE",576,BK,,,,,,10MM,,2.4,Y,27.647999999999996,,,Y,,,R,-27.647999999999996,,,,,다 남,,,,
,522,BE,,,,,,,,2.4,Y,25.055999999999997,,,Y,,,R,-25.055999999999997,,,,,,,,,
"오바사
60S/3H
THREAD",576,BK,,,BK,,,4000M,,220,M,31.68,,,C,2025-09-26 00:00:00,32,C,0.3200000000000003,,,,,다 남,,,09/26 Ship Send,
,522,BE,,,BE,,,,,220,M,28.71,,,C,,29,C,0.28999999999999915,,,,,,,,,
"본봉사
코아사
45S/2H
THREAD",576,BK,,,BK,,,2500M,,130,M,29.952,,,C,,30,C,0.047999999999998266,,,,,다 남,,,,
,522,BE,,,BE,,,,,130,M,27.144,,,C,,28,C,0.8560000000000016,,,,,,,,,
"배색 스쿠이사
45S/3H
THREAD
지누이도",576,BK,,,BK,,,4000M,,,M,0,,,C,,,C,0,,,,,다 남,,,,
,522,BE,,,BE,,,,,,M,0,,,C,,,C,0,,,,,,,,,
오버장식,576,BK,,,,,,,,1,SET,576,,,SET,,,SET,-576,,,,,한일,,,,
,522,BE,,,,,,,,1,SET,522,,,SET,,,SET,-522,,,,,,,,,
"양면 지퍼
ZIPPER",576,BK,,,,,,"9""",,1,EA,576,,,EA,2025-09-26 00:00:00,576,EA,0,,,,,다 남,,,09/26 Ship Send,
,522,BE,,,,,,"9""",,1,EA,522,,,EA,,522,EA,0,,,,,,,,,
"이단마이깡
HOOK",576,BK,,,,,,,,1,SET,576,,,SET,,576,SET,0,,,,,다 남,,,,
,522,BE,,,,,,,,1,SET,522,,,SET,,522,SET,0,,,,,,,,,
속단추,576,BK,,,,,,18MM,,1,EA,576,,,EA,2025-09-26 00:00:00,576,EA,0,,,,,보타니,,,,
,522,BE,,,,,,18MM,,1,EA,522,,,EA,,522,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",576,BK,,,,,,45MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,522,BE,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",576,BK,,,,,,18MM,,2,EA,1152,,,EA,,,EA,-1152,,,,,보타니,,,,
,522,BE,,,,,,,,2,EA,1044,,,EA,,,EA,-1044,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",500,,,,,,,,,1,EA,500,,,EA,2025-09-26 00:00:00,500,EA,0,,,,,본 사,,,09/26 Ship Send,
,480,,,,,,,,,1,EA,480,,,EA,,480,EA,0,,,,,,,,,
,118,,,,,,,,,1,EA,118,,,EA,,118,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",260,BK,,,,,,,,1,EA,260,,,EA,2025-09-26 00:00:00,260,EA,0,,,,,본 사,,,09/26 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,66,,,,,,,,,1,EA,66,,,EA,,66,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,240,BE,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,52,,,,,,,,,1,EA,52,,,EA,,52,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),260,BK,,,,,,,,1,EA,260,,,EA,2025-11-16 00:00:00,260,EA,0,,,,,대화라벨,,,11/16 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,66,,,,,,,,,1,EA,66,,,EA,,66,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,240,BE,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,대화라벨,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,52,,,,,,,,,1,EA,52,,,EA,,52,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",500,FREE,,,,,,,,1,EA,500,,,EA,2025-09-26 00:00:00,500,EA,0,,,,,다 남,,,09/26 Ship Send,
,480,,,,,,,,,1,EA,480,,,EA,,480,EA,0,,,,,,,,,
,118,,,,,,,,,1,EA,118,,,EA,,118,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1098,FREE,,,,,,,,1,EA,1098,,,EA,2025-09-26 00:00:00,1098,EA,0,,,,,본 사,,,09/26 Ship Send,
품질보증택,1098,FREE,,,,,,,,1,EA,1098,,,EA,,1098,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),1098,FREE,,,,,,,,1,EA,1098,,,EA,,1100,EA,2,,,,,,,,,
