MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB62SLM104Z,,,,,,QTY,1098,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,260,250.0,66.0,,,국내,576,,,,,,,,,,,,,,,,,,,,
BE,,240,230.0,52.0,,,,522,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-09-11 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,500,480.0,118.0,0,0.0,,1098,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-01-02 00:00:00,,,
라벨발주 1.02%,,510,489.6,120.36,0,0.0,,1119.96,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",576,BK,,,,,,"57""",정요척,1.48,Y,852.48,,,Y,2025-09-23 00:00:00,853,Y,0.5199999999999818,,,,,리원,,,09/23 China Ship Send,
,522,BE,,,,,,"56""",정요척,1.44,Y,751.68,,,Y,,753,Y,1.32000000000005,,,,,,,,,
"(싸개패드)
다후다",576,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,522,BE,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",576,BK,,,,,,"58""",정요척,0.07,Y,40.32000000000001,,,Y,,,Y,-40.32000000000001,,,,,성 보,,,,
,522,BE,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
