MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SKM102Z,,,,,,QTY,574,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"쉬 폰
LINING",574,BK,,,,,,"44""",정요척,0.61,Y,350.14,,,Y,,,Y,-350.14,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.61,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)",574,BK,,,,,,"58""",정요척,0.07,Y,40.18000000000001,,,Y,2026-03-20 00:00:00,40,Y,-0.18000000000000682,,,,,다경섬유,,,3/20 Ship Send,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)",574,BK,,,,,,"44""",정요척,0.13,Y,74.62,,,Y,2026-03-20 00:00:00,75,R,0.37999999999999545,,,,,다경섬유,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",574,BK,,,,,,8MM,,1.8,Y,10.332,,,Y,,,R,-10.332,,,,,다 남,,,,
,0,0,,,,,,,,1.8,Y,0,,,Y,,,R,0,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",574,BK,,,,,,10MM,,2.6,Y,29.848000000000003,,,Y,,,R,-29.848000000000003,,,,,다 남,,,3/20 Ship Send,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"비바테이프
EDEG TAPE",574,BK,,,,,,10MM,,2.4,Y,27.552,,,Y,,,R,-27.552,,,,,다 남,,,,
,0,0,,,,,,,,2.4,Y,0,,,Y,,,R,0,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",574,BK,,,BK,,,2500M,,130,M,29.848,,,C,,30,C,0.15200000000000102,,,,,다 남,,,3/20 Ship Send,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"오바사(가당사)
60S/3H               THREAD",574,BK,,,BK,,,4000M,,220,M,31.57,,,C,,32,C,0.4299999999999997,,,,,다 남,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
스쿠이사               THREAD,574,BK,,,BK,,,4000M,,15,M,2.1525,,,C,,3,C,0.8475000000000001,,,,,다 남,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
스티치사            THREAD,574,BK,,,,,,,,30,M,,,,C,,,C,0,,,,,다 남,,,,
,0,0,,,,,,,,30,M,,,,C,,,C,0,,,,,,,,,
"혼솔 지퍼
ZIPPER",574,BK,,,,,,"9""",,1,EA,574,,,EA,2026-03-20 00:00:00,574,EA,0,,,,,다 남,,,3/20 Ship Send,
,0,0,,,,,,"9""",,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"걸고리
HOOK",574,BK,,,,,,,,1,SET,574,,,SET,,574,SET,0,,,,,다 남,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
싸개PAD,574,BK,,,,,,2MM,,1,SET,574,,,SET,,,SET,-574,,,,,신승이앤티,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,574,BK,,,,,,,,1,SET,574,,,SET,,,SET,-574,,,,,신승이앤티,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"E-BAND
(양가밴드)
",574,BK,,,,,,30MM,,0.5,YD,287,,,EA,,,EA,-287,,,,,하나,,,,
,0,0,,,,,,,,0.5,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",574,BK,,,,,,30MM,,0.5,YD,287,,,EA,,,EA,-287,,,,,하나,,,,
,0,0,,,,,,,,0.5,YD,0,,,EA,,,EA,0,,,,,,,,,
옵션 벨트,574,BK,,,,,,,,1,SET,574,,,SET,,,SET,-574,,,,,본 사,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
D링,574,BK,,,,,,15MM,,1,EA,574,,,EA,2026-03-20 00:00:00,574,EA,0,,,,,보타니,,,3/20 Ship Send,
,0,0,,,,,,15MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
겉단추,574,BK,,,,,,21MM,,1,EA,574,,,EA,,,EA,-574,,,,,보타니,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,574,BK,,,,,,18MM,,1,EA,574,,,EA,,,EA,-574,,,,,보타니,,,,
,0,0,,,,,,18MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",574,BK,,,,,,23MM,,2,EA,1148,,,EA,,,EA,-1148,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",574,BK,,,,,,18MM,,2,EA,1148,,,EA,,,EA,-1148,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",250,,,,,,,,,1,EA,250,,,EA,2026-03-20 00:00:00,250,EA,0,,,,,본 사,,,3/20 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",250,BK,,,,,,,,1,EA,250,,,EA,2026-03-20 00:00:00,250,EA,0,,,,,본 사,,,3/20 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),250,BK,,,,,,,,1,EA,250,,,EA,2026-05-12 00:00:00,250,EA,0,,,,,대화라벨,,,5/12 H/Carry Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",250,FREE,,,,,,,,1,EA,250,,,EA,2026-03-20 00:00:00,250,EA,0,,,,,다 남,,,3/20 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,64,,,,,,,,,1,EA,64,,,EA,,64,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",574,FREE,,,,,,,,1,EA,574,,,EA,2026-03-20 00:00:00,574,EA,0,,,,,본 사,,,3/20 Ship Send,
품질보증택,574,FREE,,,,,,,,1,EA,574,,,EA,,574,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),574,FREE,,,,,,46*120,,1,EA,574,,,EA,,700,EA,126,,,,,,,,,
