MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM106Z,,,,,,QTY,514,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
E-BAND,514,BK,,,,,,45MM,,0.96,YD,493.44,,,EA,,,EA,-493.44,,,,,하나,,,,
,0,0,,,,,,,,0.96,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",514,BK,,,,,,18MM,,2,EA,1028,,,EA,,,EA,-1028,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
E-스트링,514,,,,,,,,,1.2,Y,616.8,,,,,,Y,-616.8,,,,,한일,,,,
,0,,,,,,,,,1.2,Y,0,,,,,,Y,0,,,,,,,,,
핸드메이드 라벨,514,FREE,,,,,,,,1,EA,514,,,EA,2026-02-11 00:00:00,514,EA,0,,,,,본 사,,,02/11 Ship Send,
"MAIN+SIZE
LABEL
메인라벨",280,,,,,,,,,1,EA,280,,,EA,2026-02-11 00:00:00,280,EA,0,,,,,본 사,,,02/11 Ship Send,
,234,,,,,,,,,1,EA,234,,,EA,,234,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",280,BK,,,,,,,,1,EA,280,,,EA,2026-02-11 00:00:00,280,EA,0,,,,,본 사,,,02/11 Ship Send,
,234,,,,,,,,,1,EA,234,,,EA,,234,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),280,BK,,,,,,,,1,EA,280,,,EA,2026-04-15 00:00:00,280,EA,0,,,,,대화라벨,,,04/15 Ship Send,
,234,,,,,,,,,1,EA,234,,,EA,,234,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",280,FREE,,,,,,,,1,EA,280,,,EA,2026-02-11 00:00:00,280,EA,0,,,,,대화라벨,,,02/11 Ship Send,
,234,,,,,,,,,1,EA,234,,,EA,,234,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",514,FREE,,,,,,,,1,EA,514,,,EA,2026-02-11 00:00:00,514,EA,0,,,,,본 사,,,02/11 Ship Send,
품질보증택,514,FREE,,,,,,,,1,EA,514,,,EA,,514,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),514,FREE,,,,,,55*85,,1,EA,514,,,EA,,524,EA,10,,,,,본 사,,,,
