MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLP103Z,,,,,,QTY,2962,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DN,,290,330.0,175.0,,,국내,795,,,,,,,,,,,,,,,,,,,,
CO,,360,440.0,191.0,,,,991,,,,,,,,,,,,,,,,,,,,
BK,,390,490.0,296.0,,,,1176,,,,,,,선진행건,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-09-23 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,1040,1260.0,662.0,0,0.0,,2962,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-20 00:00:00,,,
라벨발주 1.02%,,1060.8,1285.2,675.24,0,0.0,,3021.2400000000002,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
,991,CO,,,,,,,,1,SET,991,,,SET,,,SET,-991,,,,,,,,,
"양면 지퍼
ZIPPER",795,DN,,,,,,9MM,,1,EA,795,,,EA,2025-10-15 00:00:00,802,EA,7,,,,,다 남,,,10/15 H/Carry Send,
,991,CO,,,,,,,,1,EA,991,,,EA,,991,EA,0,,,,,,,,,
,1176,BK,,,,,,,,1,EA,1176,,,EA,2025-09-26 00:00:00,1176,EA,0,,,,,,,,09/26 Ship Send,
"이단마이깡
HOOK",795,DN,,,,,,,,1,SET,795,,,SET,2025-09-26 00:00:00,802,SET,7,,,,,다 남,,,09/26 Ship Send,
,991,CO,,,,,,,,1,SET,991,,,SET,,991,SET,0,,,,,,,,,
,1176,BK,,,,,,,,1,SET,1176,,,SET,,1176,SET,0,,,,,,,,,
"E-BAND
(헤링본밴드)",795,DN,,,,,,40MM,,0.6,YD,477,,,EA,2025-10-17 00:00:00,477,EA,0,,,,,하나,,,10/17 AIR Send,
,991,CO,,,,,,,,0.6,YD,594.6,,,EA,,595,EA,0.39999999999997726,,,,,,,,,
,1176,BK,,,,,,,,0.6,YD,705.6,,,EA,,706,EA,0.39999999999997726,,,,,,,,,
"E-BAND
(폴리이중직)",795,DN,,,,,,45MM,,0.6,YD,477,,,EA,,477,EA,0,,,,,하나,,,,
,991,CO,,,,,,,,0.6,YD,594.6,,,EA,,595,EA,0.39999999999997726,,,,,,,,,
,1176,BK,,,,,,,,0.6,YD,705.6,,,EA,,706,EA,0.39999999999997726,,,,,,,,,
겉단추,795,DN,,,,,,21MM,,1,EA,795,,,EA,,,EA,-795,,,,,보타니,,,,
,991,CO,,,,,,21MM,,1,EA,991,,,EA,,,EA,-991,,,,,,,,,
속단추,795,DN,,,,,,18MM,,1,EA,795,,,EA,2025-10-24 00:00:00,802,EA,7,,,,,보타니,,,10/24 Ship Send,
,991,CO,,,,,,18MM,,1,EA,991,,,EA,,991,EA,0,,,,,,,,,
,1176,BK,,,,,,18MM,,1,EA,1176,,,EA,,1176,EA,0,,,,,,,,,
금속단추,795,DN,,,,,,13MM,,1,EA,795,,,EA,,,EA,-795,,,,,보타니,,,,
,991,CO,,,,,,,,1,EA,991,,,EA,,,EA,-991,,,,,,,,,
,1176,BK,,,,,,,,1,EA,1176,,,EA,,,EA,-1176,,,,,,,,,
소매단추,795,DN,,,,,,11MM,,2,EA,1590,,,EA,,,EA,-1590,,,,,보타니,,,,
,991,CO,,,,,,11MM,,2,EA,1982,,,EA,,,EA,-1982,,,,,,,,,
,1176,BK,,,,,,11MM,,2,EA,2352,,,EA,,,EA,-2352,,,,,,,,,
"쉐파고리
BUTTON LOOP",795,DN,,,,,,,,1,SET,795,,,EA,,,EA,-795,,,,,보타니,,,,
,991,CO,,,,,,,,1,SET,991,,,EA,,,EA,-991,,,,,,,,,
,1176,BK,,,,,,,,1,SET,1176,,,EA,,,EA,-1176,,,,,,,,,
"단 추
후다, 뒤트임",795,DN,,,,,,10MM,,1,EA,795,,,EA,,,EA,-795,,,,,보타니,,,,
,991,CO,,,,,,,,1,EA,991,,,EA,,,EA,-991,,,,,,,,,
,1176,BK,,,,,,,,1,EA,1176,,,EA,,,EA,-1176,,,,,,,,,
"단 추
앞마이",795,DN,,,,,,23MM,,2,EA,1590,,,EA,,,EA,-1590,,,,,보타니,,,,
,991,CO,,,,,,,,2,EA,1982,,,EA,,,EA,-1982,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",1040,,,,,,,,,1,EA,1040,,,EA,2025-09-26 00:00:00,1040,EA,0,,,,,본 사,,,09/26 Ship Send,
,1260,,,,,,,,,1,EA,1260,,,EA,,1260,EA,0,,,,,,,,,
,662,,,,,,,,,1,EA,662,,,EA,,662,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",290,DN,,,,,,,,1,EA,290,,,EA,2025-09-26 00:00:00,290,EA,0,,,,,본 사,,,09/26 Ship Send,
,330,,,,,,,,,1,EA,330,,,EA,,330,EA,0,,,,,,,,,
,175,,,,,,,,,1,EA,175,,,EA,,175,EA,0,,,,,,,,,
,360,CO,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,,,,,
,440,,,,,,,,,1,EA,440,,,EA,,440,EA,0,,,,,,,,,
,191,,,,,,,,,1,EA,191,,,EA,,191,EA,0,,,,,,,,,
,390,BK,,,,,,,,1,EA,390,,,EA,,390,EA,0,,,,,,,,,
,490,,,,,,,,,1,EA,490,,,EA,,490,EA,0,,,,,,,,,
,296,,,,,,,,,1,EA,296,,,EA,,296,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),290,DN,,,,,,,,1,EA,290,,,EA,2025-12-05 00:00:00,290,EA,0,,,,,대화라벨,,,12/05 Ship Send,
,330,,,,,,,,,1,EA,330,,,EA,,330,EA,0,,,,,,,,,
,175,,,,,,,,,1,EA,175,,,EA,,175,EA,0,,,,,,,,,
,360,CO,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,,,,,
,440,,,,,,,,,1,EA,440,,,EA,,440,EA,0,,,,,,,,,
,191,,,,,,,,,1,EA,191,,,EA,,191,EA,0,,,,,,,,,
,390,BK,,,,,,,,1,EA,390,,,EA,,390,EA,0,,,,,,,,,
,490,,,,,,,,,1,EA,490,,,EA,,490,EA,0,,,,,,,,,
,296,,,,,,,,,1,EA,296,,,EA,,296,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",1040,FREE,,,,,,,,1,EA,1040,,,EA,2025-09-26 00:00:00,1040,EA,0,,,,,다 남,,,09/26 Ship Send,
,1260,,,,,,,,,1,EA,1260,,,EA,,1260,EA,0,,,,,,,,,
,662,,,,,,,,,1,EA,662,,,EA,,669,EA,7,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",2962,FREE,,,,,,,,1,EA,2962,,,EA,2025-09-26 00:00:00,2962,EA,0,,,,,본 사,,,09/26 Ship Send,
품질보증택,2962,FREE,,,,,,,,1,EA,2962,,,EA,,2962,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),2962,FREE,,,,,,,,1,EA,2962,,,EA,2025-10-29 00:00:00,3000,EA,38,,,,,본 사,,,10/29 Ship Send,
