MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SKM103Z,,,,,,QTY,551,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"쉬 폰
LINING",551,MG,,,,,,"44""",정요척,0.61,Y,336.11,,,Y,,,Y,-336.11,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.61,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)",551,MG,,,,,,"58""",정요척,1.72,Y,947.72,,,Y,2026-03-20 00:00:00,948,Y,0.2799999999999727,,,,,다경섬유,,,3/20 Ship Send,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)",551,MG,,,,,,"44""",정요척,0.15,Y,82.64999999999999,,,Y,2026-03-20 00:00:00,83,R,0.3500000000000085,,,,,다경섬유,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",551,MG,,,,,,8MM,,1.8,Y,9.918000000000001,,,Y,,,R,-9.918000000000001,,,,,다 남,,,,
,0,0,,,,,,,,1.8,Y,0,,,Y,,,R,0,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",551,MG,,,,,,10MM,,2.8,Y,30.855999999999998,,,Y,2026-03-20 00:00:00,31,R,0.1440000000000019,,,,,다 남,,,3/20 Ship Send,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"비바테이프
EDEG TAPE",551,MG,,,,,,10MM,,2.4,Y,26.447999999999997,,,Y,,,R,-26.447999999999997,,,,,다 남,,,,
,0,0,,,,,,,,2.4,Y,0,,,Y,,,R,0,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",551,MG,,,MG,,,2500M,,150,M,33.06,,,C,,34,C,0.9399999999999977,,,,,다 남,,,3/20 Ship Send,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"오바사(가당사)
60S/3H               THREAD",551,MG,,,MG,,,4000M,,220,M,30.305,,,C,,31,C,0.6950000000000003,,,,,다 남,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"스쿠이사               THREAD
",551,MG,,,MG,,,4000M,,20,M,2.755,,,C,,3,C,0.2450000000000001,,,,,다 남,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
스티치사            THREAD,551,MG,,,,,,,,30,M,,,,C,,,C,0,,,,,다 남,,,,
,0,0,,,,,,,,30,M,,,,C,,,C,0,,,,,,,,,
"혼솔 지퍼
ZIPPER",551,MG,,,,,,"9""",,1,EA,551,,,EA,2026-03-20 00:00:00,551,EA,0,,,,,다 남,,,3/20 Ship Send,
,0,0,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,,,,,
"걸고리
HOOK",551,MG,,,,,,,,1,SET,551,,,SET,,551,SET,0,,,,,다 남,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
싸개PAD,551,MG,,,,,,2MM,,1,SET,551,,,SET,,,SET,-551,,,,,신승이앤티,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,551,MG,,,,,,,,1,SET,551,,,SET,,,SET,-551,,,,,신승이앤티,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"E-BAND
(양가밴드)
",551,MG,,,,,,30MM,,0.5,YD,275.5,,,EA,,,EA,-275.5,,,,,하나,,,,
,0,0,,,,,,,,0.5,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",551,MG,,,,,,30MM,,0.5,YD,275.5,,,EA,,,EA,-275.5,,,,,하나,,,,
,0,0,,,,,,,,0.5,YD,0,,,EA,,,EA,0,,,,,,,,,
옵션 벨트,551,MG,,,,,,,,1,SET,551,,,SET,,,SET,-551,,,,,본 사,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
D링,551,MG,,,,,,15MM,,1,EA,551,,,EA,,,EA,-551,,,,,보타니,,,,
,0,0,,,,,,15MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
겉단추,551,MG,,,,,,21MM,,1,EA,551,,,EA,,,EA,-551,,,,,보타니,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,551,MG,,,,,,18MM,,1,EA,551,,,EA,,,EA,-551,,,,,보타니,,,,
,0,0,,,,,,18MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",551,MG,,,,,,23MM,,2,EA,1102,,,EA,,,EA,-1102,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",551,MG,,,,,,18MM,,2,EA,1102,,,EA,,,EA,-1102,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",231,,,,,,,,,1,EA,231,,,EA,2026-03-20 00:00:00,231,EA,0,,,,,본 사,,,3/20 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",231,MG,,,,,,,,1,EA,231,,,EA,2026-03-20 00:00:00,231,EA,0,,,,,본 사,,,3/20 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),231,MG,,,,,,,,1,EA,231,,,EA,2026-05-12 00:00:00,231,EA,0,,,,,대화라벨,,,5/12 H/Carry Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",231,FREE,,,,,,,,1,EA,231,,,EA,2026-03-20 00:00:00,231,EA,0,,,,,다 남,,,3/20 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",551,FREE,,,,,,,,1,EA,551,,,EA,2026-03-20 00:00:00,551,EA,0,,,,,본 사,,,3/20 Ship Send,
품질보증택,551,FREE,,,,,,,,1,EA,551,,,EA,,551,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),551,FREE,,,,,,46*120,,1,EA,551,,,EA,,750,EA,199,,,,,,,,,
