MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP104Z,,,,,,QTY,1330,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"이단마이깡
HOOK",639,CA,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,691,MG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,639,CA,,,,,,45MM,,0.96,YD,613.4399999999999,,,EA,,,EA,-613.4399999999999,,,,,하나,,,,
,691,MG,,,,,,,,0.96,YD,663.36,,,EA,,,EA,-663.36,,,,,,,,,
"단 추
후다, 뒤트임",639,CA,,,,,,18MM,,2,EA,1278,,,EA,,,EA,-1278,,,,,보타니,,,,
,691,MG,,,,,,,,2,EA,1382,,,EA,,,EA,-1382,,,,,,,,,
E-스트링,639,,,,,,,,,1.2,Y,766.8,,,,,,Y,-766.8,,,,,한일,,,,
,691,,,,,,,,,1.2,Y,829.1999999999999,,,,,,Y,-829.1999999999999,,,,,,,,,
핸드메이드 라벨,1330,FREE,,,,,,,,1,EA,1330,,,EA,2026-02-11 00:00:00,1330,EA,0,,,,,본 사,,,02/11 Ship Send,
"MAIN+SIZE
LABEL
메인라벨",830,,,,,,,,,1,EA,830,,,EA,2026-02-11 00:00:00,830,EA,0,,,,,본 사,,,02/11 Ship Send,
,500,,,,,,,,,1,EA,500,,,EA,,500,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",400,CA,,,,,,,,1,EA,400,,,EA,2026-02-11 00:00:00,400,EA,0,,,,,본 사,,,02/11 Ship Send,
,239,,,,,,,,,1,EA,239,,,EA,,239,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,430,MG,,,,,,,,1,EA,430,,,EA,,430,EA,0,,,,,본 사,,,,
,261,,,,,,,,,1,EA,261,,,EA,,261,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),400,CA,,,,,,,,1,EA,400,,,EA,2026-04-15 00:00:00,400,EA,0,,,,,대화라벨,,,04/15 Ship Send,
,239,,,,,,,,,1,EA,239,,,EA,,239,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,430,MG,,,,,,,,1,EA,430,,,EA,,430,EA,0,,,,,대화라벨,,,,
,261,,,,,,,,,1,EA,261,,,EA,,261,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",830,FREE,,,,,,,,1,EA,830,,,EA,2026-02-11 00:00:00,830,EA,0,,,,,대화라벨,,,02/11 Ship Send,
,500,,,,,,,,,1,EA,500,,,EA,,500,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1330,FREE,,,,,,,,1,EA,1330,,,EA,2026-02-11 00:00:00,1330,EA,0,,,,,본 사,,,02/11 Ship Send,
품질보증택,1330,FREE,,,,,,,,1,EA,1330,,,EA,,1330,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1330,FREE,,,,,,60*107,,1,EA,1330,,,EA,,2000,EA,670,,,,,본 사,,,,
