MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM181A,,,,,,QTY,561,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
싸개PAD,287,CG,,,,,,2MM,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,274,CR,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,287,CG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,274,CR,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",287,CG,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,다 남,,,,
,274,CR,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,,,,,
스토퍼,287,CG,,,,,,,,2,EA,574,,,,,,Y,-574,,,,,보타니,,,,
,274,CR,,,,,,,,2,EA,548,,,,,,Y,-548,,,,,,,,,
겉단추,287,CG,,,,,,23MM,,5,EA,1435,,,EA,,,EA,-1435,,,,,보타니,,,,
,274,CR,,,,,,,,5,EA,1370,,,EA,,,EA,-1370,,,,,,,,,
,0,0,,,,,,,,5,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,287,CG,,,,,,18MM,,2,EA,574,,,EA,,,EA,-574,,,,,보타니,,,,
,274,CR,,,,,,,,2,EA,548,,,EA,,,EA,-548,,,,,,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
골테잎(폴리),287,CG,,,,,,,,0.8,Y,229.60000000000002,,,Y,,,Y,-229.60000000000002,,,,,하나,,,,
,274,CR,,,,,,,,0.8,Y,219.20000000000002,,,Y,,,Y,-219.20000000000002,,,,,,,,,
,0,0,,,,,,,,0.8,Y,0,,,Y,,,Y,0,,,,,,,,,
금속 앞단추,287,CG,,,,,,21MM,,4,SET,1148,,,EA,,,EA,-1148,,,,,보타니,,,,
,274,CR,,,,,,21MM,,4,SET,1096,,,EA,,,EA,-1096,,,,,,,,,
"이단마이깡
HOOK",287,CG,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,274,CR,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,287,CG,,,,,,45MM,,0.96,YD,275.52,,,EA,,,EA,-275.52,,,,,하나,,,,
,274,CR,,,,,,,,0.96,YD,263.03999999999996,,,EA,,,EA,-263.03999999999996,,,,,,,,,
"단 추
후다, 뒤트임",287,CG,,,,,,18MM,,2,EA,574,,,EA,,,EA,-574,,,,,보타니,,,,
,274,CR,,,,,,,,2,EA,548,,,EA,,,EA,-548,,,,,,,,,
E-스트링,287,,,,,,,,,1.2,Y,344.4,,,,,,Y,-344.4,,,,,한일,,,,
,274,,,,,,,,,1.2,Y,328.8,,,,,,Y,-328.8,,,,,,,,,
핸드메이드 라벨,561,FREE,,,,,,,,1,EA,561,,,EA,,,EA,-561,,,,,본 사,,,,
구스택,561,FREE,,,,,,,,1,EA,561,,,EA,,,EA,-561,,,,,본 사,,,,
"MAIN+SIZE
LABEL
메인라벨",361,,,,,,,,,1,EA,361,,,EA,,,EA,-361,,,,,본 사,,,,
,200,,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",187,CG,,,,,,,,1,EA,187,,,EA,,,EA,-187,,,,,본 사,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,174,CR,,,,,,,,1,EA,174,,,EA,,,EA,-174,,,,,본 사,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),187,CG,,,,,,,,1,EA,187,,,EA,,,EA,-187,,,,,대화라벨,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,174,CR,,,,,,,,1,EA,174,,,EA,,,EA,-174,,,,,대화라벨,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",361,FREE,,,,,,,,1,EA,361,,,EA,,,EA,-361,,,,,대화라벨,,,,
,200,,,,,,,,,1,EA,200,,,EA,,,EA,-200,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",561,FREE,,,,,,,,1,EA,561,,,EA,,,EA,-561,,,,,본 사,,,,
품질보증택,561,FREE,,,,,,,,1,EA,561,,,EA,,,EA,-561,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),561,FREE,,,,,,60*140,,1,EA,561,,,EA,,,EA,-561,,,,,본 사,,,,
