MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM111Z,,,,,,QTY,812,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,320,360.0,132.0,,,국내,812,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-11 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,320,360.0,132.0,0,0.0,,812,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,326.4,367.2,134.64000000000001,0,0.0,,828.24,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"이단마이깡
HOOK",812,BK,,,,,,,,1,SET,812,,,SET,,812,SET,0,,,,,다 남,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,812,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"속단추
BUTTON",812,BK,,,,,,18MM,,1,EA,812,,,EA,,,EA,-812,,,,,보타니,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"레터링테이프
LETTERING TAPE",812,BK,,,,,,45MM,,0.56,YD,454.72,,,EA,,,EA,-454.72,,,,,하나,,,,
,0,0,,,,,,,,0.56,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",812,BK,,,,,,45Ф,,0.54,YD,438.48,,,EA,2026-07-04 00:00:00,450,EA,11.519999999999982,,,,,하나,,,인천선적,
,0,0,,,,,,,,0.54,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,0.54,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(울빗살밴드)",812,BK,,,,,,55Ф,,0.54,EA,438.48,,,EA,2026-07-04 00:00:00,450,EA,11.519999999999982,,,,,하나,,,인천선적,
,0,0,,,,,,,,0.54,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",320,,,,,,,사각/중,,1,EA,320,,,EA,2026-07-04 00:00:00,320,EA,0,,,,,본 사,,,인천선적,
,360,,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,,,,,
,132,,,,,,,,,1,EA,132,,,EA,,132,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",320,BK,,,,,,MDM-13,,1,EA,320,,,EA,2026-07-04 00:00:00,320,EA,0,,,,,본 사,,,인천선적,
,360,,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,,,,,
,132,,,,,,,,,1,EA,132,,,EA,,132,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",320,BK,,,,,,,,1,EA,320,,,EA,,,EA,-320,,,,,대화라벨,,,,
,360,,,,,,,,,1,EA,360,,,EA,,,EA,-360,,,,,,,,,
,132,,,,,,,,,1,EA,132,,,EA,,,EA,-132,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",320,FREE,,,,,,,,1,EA,320,,,EA,2026-07-04 00:00:00,320,EA,0,,,,,다 남,,,인천선적,
,360,,,,,,,,,1,EA,360,,,EA,,360,EA,0,,,,,,,,,
,132,,,,,,,,,1,EA,132,,,EA,,132,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",812,FREE,,,,,,,,1,EA,812,,,EA,2026-07-04 00:00:00,812,EA,0,,,,,본 사,,,인천선적,
품질보증택,812,FREE,,,,,,,,1,EA,812,,,EA,,812,EA,0,,,,,,,,인천선적,
"POLY BAG
폴리백(LOCAL)",812,FREE,,,,,,46*120,,1,EA,812,,,EA,2026-07-04 00:00:00,812,EA,0,,,,,,,,인천선적,
