MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLP112Z,,,,,,QTY,838,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,318,370.0,150.0,,,국내,838,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,318,370.0,150.0,0,0.0,,838,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-09-20 00:00:00,,,
라벨발주 1.02%,,324.36,377.40000000000003,153.0,0,0.0,,854.76,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"이단마이깡
HOOK
앞여밈",838,BK,,,,,,,,1,SET,838,,,SET,,838,SET,0,,,,,다 남,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,838,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"속단추
BUTTON
앞여밈",838,BK,,,,,,18MM,,1,EA,838,,,EA,,,EA,-838,,,,,보타니,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(속)",838,BK,,,,,,45Ф,,0.5,YD,419,,,EA,2026-07-04 00:00:00,450,EA,31,,,,,하나,,,인천선적,
,0,0,,,,,,,,0.5,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",838,BK,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",838,BK,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",318,,,,BK,,,사각/중,,1,EA,318,,,EA,2026-07-04 00:00:00,318,EA,0,,,,,본 사,,,인천선적,
,370,,,,BK,,,,,1,EA,370,,,EA,,370,EA,0,,,,,,,,,
,150,,,,BK,,,,,1,EA,150,,,EA,,150,EA,0,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어
(MDM-13)",318,BK,,,,,,,,1,EA,318,,,EA,2026-07-04 00:00:00,318,EA,0,,,,,본 사,,,인천선적,
,370,,,,,,,,,1,EA,370,,,EA,,370,EA,0,,,,,,,,,
,150,,,,,,,,,1,EA,150,,,EA,,150,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",318,BK,,,,,,,,1,EA,318,,,EA,,,EA,-318,,,,,대화라벨,,,,
,370,,,,,,,,,1,EA,370,,,EA,,,EA,-370,,,,,,,,,
,150,,,,,,,,,1,EA,150,,,EA,,,EA,-150,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",318,FREE,,,,,,,,1,EA,318,,,EA,2026-07-04 00:00:00,838,EA,520,,,,,다 남,,,인천선적,
,370,,,,,,,,,1,EA,370,,,EA,,,EA,-370,,,,,,,,,
,150,,,,,,,,,1,EA,150,,,EA,,,EA,-150,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",838,FREE,,,,,,,,1,EA,838,,,EA,2026-07-04 00:00:00,838,EA,0,,,,,본 사,,,인천선적,
품질보증택,838,FREE,,,,,,,,1,EA,838,,,EA,2026-07-04 00:00:00,838,EA,0,,,,,,,,인천선적,
"POLY BAG
폴리백(LOCAL)",838,FREE,,,,,,46*120,,1,EA,838,,,EA,2026-07-04 00:00:00,838,EA,0,,,,,,,,인천선적,
