MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SKM101Z,,,,,,QTY,1123,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
GR,,237,250.0,70.0,,,국내,557,,,,,,,,,,,,,,,,,,,,
BR,,240,256.0,70.0,,,,566,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-03-10 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,477,506.0,140.0,0,0.0,,1123,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-06-24 00:00:00,,,
라벨발주 1.02%,,486.54,516.12,142.8,0,0.0,,1145.46,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,557,GR,,,,,,"56""",정요척,1.25,Y,696.25,,,Y,2026-03-14 00:00:00,697,Y,0.75,,,,,리원,,,3/14 Ship Send,
,566,BR,,,,,,,정요척,1.25,Y,707.5,,,Y,,708,Y,0.5,,,,,,,,,
"(싸개패드)
다후다",557,GR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,566,BR,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
해리,주머니감",557,GR,,,,,,"48""",정요척,0.51,Y,284.07,,,Y,2026-03-20 00:00:00,285,Y,0.9300000000000068,,,,,성 보,,,3/20 Ship Send,
,566,BR,,,,,,,정요척,0.51,Y,288.66,,,Y,,289,Y,0.339999999999975,,,,,,,,,
