MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SKM101Z,,,,,,QTY,1123,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"쉬 폰
LINING",557,GR,,,,,,"44""",정요척,0.61,Y,339.77,,,Y,2026-03-20 00:00:00,340,Y,0.2300000000000182,,,,,성 보,,,,
,566,BR,,,,,,,정요척,0.61,Y,345.26,,,Y,,346,Y,0.7400000000000091,,,,,,,,,
"심 지
INTERLINING
(M-250)",557,GR,,,,,,"58""",정요척,0.02,Y,11.14,,,Y,2026-03-20 00:00:00,11,Y,-0.14000000000000057,,,,,다경섬유,,,,
,566,BR,,,,,,,정요척,0.02,Y,11.32,,,Y,,11,Y,-0.3200000000000003,,,,,,,,,
"심 지
INTERLINING
(M-252)",557,GR,,,,,,"44""",정요척,0.07,Y,38.99,,,Y,,39,R,0.00999999999999801,,,,,다경섬유,,,,
,566,BR,,,,,,,정요척,0.07,Y,39.620000000000005,,,Y,,40,R,0.37999999999999545,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",557,GR,,,,,,8MM,,1.8,Y,10.026,,,Y,,,R,-10.026,,,,,다 남,,,,
,566,BR,,,,,,,,1.8,Y,10.188,,,Y,,,R,-10.188,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",557,GR,,,,,,10MM,,1.7,Y,18.938,,,Y,2026-03-20 00:00:00,19,R,0.062000000000001165,,,,,다 남,,,3/20 Ship Send,
,566,BR,,,,,,,,1.7,Y,19.244,,,Y,,20,R,0.7560000000000002,,,,,,,,,
"비바테이프
EDEG TAPE",557,GR,,,,,,10MM,,2.4,Y,26.736,,,Y,,,R,-26.736,,,,,다 남,,,,
,566,BR,,,,,,,,2.4,Y,27.167999999999996,,,Y,,,R,-27.167999999999996,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",557,GR,,,GR,,,2500M,,80,M,17.824,,,C,2026-03-20 00:00:00,18,C,0.17599999999999838,,,,,다 남,,,3/20 Ship Send,
,566,BR,,,BR,,,,,80,M,18.112,,,C,,19,C,0.8880000000000017,,,,,,,,,
"본봉사
코아사(배색)
45S/2H               THREAD",557,GR,,,GR,,,2500M,,130,M,28.964,,,C,,30,C,1.0360000000000014,,,,,다 남,,,,
,566,BR,,,BR,,,,,130,M,29.432,,,C,,30,C,0.5680000000000014,,,,,,,,,
"오바사(가당사)
60S/3H               THREAD",557,GR,,,GR,,,4000M,,140,M,19.495,,,C,,20,C,0.504999999999999,,,,,다 남,,,,
,566,BR,,,BR,,,,,140,M,19.81,,,C,,20,C,0.19000000000000128,,,,,,,,,
"오바사(배색)
60S/3H               THREAD",557,GR,,,GR,,,4000M,,100,M,13.925,,,C,,14,C,0.07499999999999929,,,,,다 남,,,,
,566,BR,,,BR,,,,,100,M,14.15,,,C,,15,C,0.8499999999999996,,,,,,,,,
"스티치사
지누이도            THREAD",557,GR,,,,,,500M,,30,M,33.42,,,C,,34,C,0.5799999999999983,,,,,다 남,,,,
,566,BR,,,,,,,,30,M,33.96,,,C,,34,C,0.03999999999999915,,,,,,,,,
스쿠이사               THREAD,557,GR,,,GR,,,4000M,,40,M,44.56,,,C,,,C,-44.56,,,,,다 남,,,,
,566,BR,,,BR,,,,,40,M,45.28,,,C,,,C,-45.28,,,,,,,,,
"망사 혼솔 지퍼
ZIPPER",557,GR,,,,,,"9""",,1,EA,557,,,EA,2026-03-20 00:00:00,557,EA,0,,,,,다 남,,,3/20 Ship Send,
,566,BR,,,,,,"9""",,1,EA,566,,,EA,,566,EA,0,,,,,,,,,
"걸고리
HOOK",557,GR,,,,,,,,1,SET,557,,,SET,,557,SET,0,,,,,다 남,,,,
,566,BR,,,,,,,,1,SET,566,,,SET,,566,SET,0,,,,,,,,,
싸개PAD,557,GR,,,,,,2MM,,1,SET,557,,,SET,,,SET,-557,,,,,신승이앤티,,,,
,566,BR,,,,,,,,1,SET,566,,,SET,,,SET,-566,,,,,,,,,
솜마꾸라지,557,GR,,,,,,,,1,SET,557,,,SET,,,SET,-557,,,,,신승이앤티,,,,
,566,BR,,,,,,,,1,SET,566,,,SET,,,SET,-566,,,,,,,,,
"E-BAND
(양가밴드)
",557,GR,,,,,,30MM,,0.5,YD,278.5,,,EA,2026-03-20 00:00:00,300,EA,21.5,,,,,하나,,,3/20 Ship Send,
,566,BR,,,,,,,,0.5,YD,283,,,EA,,300,EA,17,,,,,,,,,
"E-BAND
(코메즈중간직)",557,GR,,,,,,30MM,,0.5,YD,278.5,,,EA,,,EA,-278.5,,,,,하나,,,,
,566,BR,,,,,,,,0.5,YD,283,,,EA,,,EA,-283,,,,,,,,,
옵션 벨트,557,GR,,,,,,,,1,SET,557,,,SET,,,SET,-557,,,,,본 사,,,,
,566,BR,,,,,,,,1,SET,566,,,SET,,,SET,-566,,,,,,,,,
쌍D링,557,GR,,,,,,15MM,,1,EA,557,,,EA,,,EA,-557,,,,,보타니,,,,
,566,BR,,,,,,15MM,,1,EA,566,,,EA,,,EA,-566,,,,,,,,,
겉단추,557,GR,,,,,,21MM,,1,EA,557,,,EA,,,EA,-557,,,,,보타니,,,,
,566,BR,,,,,,21MM,,1,EA,566,,,EA,,,EA,-566,,,,,,,,,
속단추,557,GR,,,,,,18MM,,1,EA,557,,,EA,,,EA,-557,,,,,보타니,,,,
,566,BR,,,,,,18MM,,1,EA,566,,,EA,,,EA,-566,,,,,,,,,
"단 추
앞마이",557,GR,,,,,,23MM,,2,EA,1114,,,EA,,,EA,-1114,,,,,보타니,,,,
,566,BR,,,,,,,,2,EA,1132,,,EA,,,EA,-1132,,,,,,,,,
"단 추
후다, 뒤트임",557,GR,,,,,,18MM,,2,EA,1114,,,EA,,,EA,-1114,,,,,보타니,,,,
,566,BR,,,,,,,,2,EA,1132,,,EA,,,EA,-1132,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",477,,,,,,,,,1,EA,477,,,EA,2026-03-20 00:00:00,477,EA,0,,,,,본 사,,,3/20 Ship Send,
,506,,,,,,,,,1,EA,506,,,EA,,506,EA,0,,,,,,,,,
,140,,,,,,,,,1,EA,140,,,EA,,140,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",237,GR,,,,,,,,1,EA,237,,,EA,2026-03-20 00:00:00,237,EA,0,,,,,본 사,,,3/20 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,240,BR,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,본 사,,,,
,256,,,,,,,,,1,EA,256,,,EA,,256,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),237,GR,,,,,,,,1,EA,237,,,EA,2026-05-12 00:00:00,237,EA,0,,,,,대화라벨,,,5/12 H/Carry Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,240,BR,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,대화라벨,,,,
,256,,,,,,,,,1,EA,256,,,EA,,256,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",477,FREE,,,,,,,,1,EA,477,,,EA,2026-03-20 00:00:00,477,EA,0,,,,,다 남,,,3/20 Ship Send,
,506,,,,,,,,,1,EA,506,,,EA,,506,EA,0,,,,,,,,,
,140,,,,,,,,,1,EA,140,,,EA,,140,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1123,FREE,,,,,,,,1,EA,1123,,,EA,2026-03-20 00:00:00,1123,EA,0,,,,,본 사,,,3/20 Ship Send,
품질보증택,1123,FREE,,,,,,,,1,EA,1123,,,EA,,1123,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),1123,FREE,,,,,,46*120,,1,EA,1123,,,EA,,1200,EA,77,,,,,,,,,
