MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM101Z,,,,,,QTY,600,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
겉단추,600,BK,,,,,,21MM,,1,EA,600,,,EA,,,EA,-600,,,,,보타니,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,600,BK,,,,,,18MM,,1,EA,600,,,EA,,,EA,-600,,,,,보타니,,,,
,0,0,,,,,,18MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",600,BK,,,,,,23MM,,2,EA,1200,,,EA,,,EA,-1200,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",600,BK,,,,,,18MM,,2,EA,1200,,,EA,,,EA,-1200,,,,,보타니,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",250,,,,,,,,,1,EA,250,,,EA,2025-12-05 00:00:00,250,EA,0,,,,,본 사,,,12/05 Ship Send,
,270,,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",250,BK,,,,,,,,1,EA,250,,,EA,2025-12-05 00:00:00,250,EA,0,,,,,본 사,,,12/05 Ship Send,
,270,,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),250,BK,,,,,,,,1,EA,250,,,EA,2026-01-23 00:00:00,250,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,270,,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
