MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM123Z,,,,,,QTY,1207,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"이단마이깡
HOOK",704,BK,,,,,,,,1,SET,704,,,SET,2025-12-05 00:00:00,704,SET,0,,,,,다 남,,,12/05 Ship Send,
,503,,,,,,,,,1,SET,503,,,SET,,503,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,704,BK,,,,,,21MM,,1,EA,704,,,EA,,,EA,-704,,,,,보타니,,,,
,503,,,,,,,21MM,,1,EA,503,,,EA,,,EA,-503,,,,,,,,,
,0,0,,,,,,21MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,704,BK,,,,,,18MM,,1,EA,704,,,EA,2025-12-05 00:00:00,704,EA,0,,,,,보타니,,,12/05 Ship Send,
,503,,,,,,,18MM,,1,EA,503,,,EA,,503,EA,0,,,,,,,,,
,0,0,,,,,,18MM,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",704,BK,,,,,,40MM,,0.55,YD,387.20000000000005,,,EA,,,EA,-387.20000000000005,,,,,하나,,,,
,503,,,,,,,,,0.55,YD,276.65000000000003,,,EA,,,EA,-276.65000000000003,,,,,,,,,
,0,0,,,,,,,,0.55,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",704,BK,,,,,,18MM,,2,EA,1408,,,EA,,,EA,-1408,,,,,보타니,,,,
,503,,,,,,,,,2,EA,1006,,,EA,,,EA,-1006,,,,,,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",503,,,,,,,,,1,EA,503,,,EA,2025-12-05 00:00:00,503,EA,0,,,,,본 사,,,12/05 Ship Send,
,520,,,,,,,,,1,EA,520,,,EA,,520,EA,0,,,,,,,,,
,184,,,,,,,,,1,EA,184,,,EA,,184,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",280,BK,,,,,,,,1,EA,280,,,EA,2025-12-05 00:00:00,280,EA,0,,,,,본 사,,,12/05 Ship Send,
,290,,,,,,,,,1,EA,290,,,EA,,290,EA,0,,,,,,,,,
,134,,,,,,,,,1,EA,134,,,EA,,134,EA,0,,,,,,,,,
,223,,,,,,,,,1,EA,223,,,EA,,223,EA,0,,,,,,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,50,,,,,,,,,1,EA,50,,,EA,,50,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
