MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM106Z,,,,,,QTY,841,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"단 추
(소매-장식)
TAP DECORATION",841,GR,,,,,,20Ф,,0.9,EA,756.9,,,EA,,,EA,-756.9,,,,,보타니,,,,
,0,0,,,,,,,,0.9,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",400,,,,BK,,,사각(대),,1,EA,400,,,EA,2026-07-04 00:00:00,841,EA,441,,,,,본 사,,,인천선적,
,350,,,,BK,,,,,1,EA,350,,,EA,,,EA,-350,,,,,,,,,
,91,,,,BK,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어
MDM-13",400,GR,,,,,,,,1,EA,400,,,EA,2026-07-04 00:00:00,841,EA,441,,,,,본 사,,,인천선적,
,350,,,,,,,,,1,EA,350,,,EA,,,EA,-350,,,,,,,,,
,91,,,,,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),400,GR,,,,,,,,1,EA,400,,,EA,,,EA,-400,,,,,대화라벨,,,,
,350,,,,,,,,,1,EA,350,,,EA,,,EA,-350,,,,,,,,,
,91,,,,,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",400,FREE,,,,,,,,1,EA,400,,,EA,2026-07-04 00:00:00,,EA,-400,,,,,다 남,,,인천선적,
,350,,,,,,,,,1,EA,350,,,EA,,,EA,-350,,,,,,,,,
,91,,,,,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",841,FREE,,,,,,,,1,EA,841,,,EA,2026-07-04 00:00:00,841,EA,0,,,,,본 사,,,인천선적,
"이미지택
IMAGE TAG",841,FREE,,,,,,,,1,EA,841,,,EA,2026-07-04 00:00:00,841,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),841,FREE,,,,,,,,1,EA,841,,,EA,,,EA,-841,,,,,본 사,,,,
