MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66SLM127Z,,,,,,QTY,1346,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
KH,,240,250.0,75.0,,,국내,565,,,,,,,,,,,,,,,,,,,,
BK,,320,350.0,111.0,,,,781,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,"원,부자재 선적 완료",,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-01-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,560,600.0,186.0,0,0.0,,1346,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-04-29 00:00:00,,,
라벨발주 1.02%,,571.2,612.0,189.72,0,0.0,,1372.92,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",565,KH,,,,,,"53""",정요척,1.51,Y,853.15,,,Y,2026-01-23 00:00:00,854.75,Y,1.6000000000000227,,,,,천지,,,1/23 Ship Send,
,781,BK,,,,,,"54""",정요척,1.51,Y,1179.31,,,Y,,1181.25,Y,1.9400000000000546,,,,,,,,,
,0,0,,,,,,"58""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",565,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,781,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",565,KH,,,,,,"58""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
