MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM103Z,,,,,,QTY,928,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
WH,,150,150.0,42.0,,,국내,342,,,,,,,,,,,,,,,,,,,,
BK,,240,260.0,86.0,,,,586,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,390,410.0,128.0,0,0.0,,928,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-03-11 00:00:00,,,
라벨발주 1.02%,,397.8,418.2,130.56,0,0.0,,946.5600000000001,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
"E-BAND
(코메즈중간직)",342,WH,,,,,,50MM,,0.95,YD,324.9,,,EA,,,EA,-324.9,,,,,하나,,,,
,586,BK,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
옵션 벨트,342,WH,,,,,,,,1,SET,342,,,SET,,,SET,-342,,,,,본 사,,,,
,586,BK,,,,,,,,1,SET,586,,,SET,,,SET,-586,,,,,,,,,
쌍D링,342,WH,,,,,,15MM,,1,EA,342,,,EA,2025-12-05 00:00:00,342,EA,0,,,,,보타니,,,12/05 Ship Send,
,586,BK,,,,,,15MM,,1,EA,586,,,EA,,586,EA,0,,,,,,,,,
겉단추,342,WH,,,,,,21MM,,1,EA,342,,,EA,,,EA,-342,,,,,보타니,,,,
,586,BK,,,,,,21MM,,1,EA,586,,,EA,,,EA,-586,,,,,,,,,
속단추,342,WH,,,,,,18MM,,1,EA,342,,,EA,,,EA,-342,,,,,보타니,,,,
,586,BK,,,,,,18MM,,1,EA,586,,,EA,,,EA,-586,,,,,,,,,
"단 추
앞마이",342,WH,,,,,,23MM,,2,EA,684,,,EA,,,EA,-684,,,,,보타니,,,,
,586,BK,,,,,,,,2,EA,1172,,,EA,,,EA,-1172,,,,,,,,,
"단 추
후다, 뒤트임",342,WH,,,,,,18MM,,2,EA,684,,,EA,,,EA,-684,,,,,보타니,,,,
,586,BK,,,,,,,,2,EA,1172,,,EA,,,EA,-1172,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",390,,,,,,,,,1,EA,390,,,EA,2025-12-05 00:00:00,390,EA,0,,,,,본 사,,,12/05 Ship Send,
,410,,,,,,,,,1,EA,410,,,EA,,410,EA,0,,,,,,,,,
,128,,,,,,,,,1,EA,128,,,EA,,128,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",150,WH,,,,,,,,1,EA,150,,,EA,2025-12-05 00:00:00,150,EA,0,,,,,본 사,,,12/05 Ship Send,
,150,,,,,,,,,1,EA,150,,,EA,,150,EA,0,,,,,,,,,
,42,,,,,,,,,1,EA,42,,,EA,,42,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
