MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP103Z,,,,,,QTY,0,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
금속 앞단추,0,CR,,,,,,21MM,,4,SET,0,,,EA,,,EA,0,,,,,보타니,,,,
,0,LB,,,,,,21MM,,4,SET,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",0,CR,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,0,LB,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,0,CR,,,,,,45MM,,0.96,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,0,LB,,,,,,,,0.96,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",0,CR,,,,,,18MM,,2,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,0,LB,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
E-스트링,0,,,,,,,,,1.2,Y,0,,,,,,Y,0,,,,,한일,,,,
,0,,,,,,,,,1.2,Y,0,,,,,,Y,0,,,,,,,,,
핸드메이드 라벨,0,FREE,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
"MAIN+SIZE
LABEL
메인라벨",0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",0,CR,,,,,,,,1,EA,0,,,EA,2026-06-11 00:00:00,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,LB,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,DG,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),0,CR,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,LB,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,DG,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",0,FREE,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",0,FREE,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
품질보증택,0,FREE,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),0,FREE,,,,,,60*107,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
