MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM181Z,,,,,,QTY,663,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"MAIN+SIZE
LABEL
메인라벨",320,,,,BK,,,사각(대),,1,EA,320,,,EA,2026-07-04 00:00:00,320,EA,0,,,,,본 사,,,인천선적,
,290,,,,BK,,,,,1,EA,290,,,EA,,290,EA,0,,,,,,,,,
,53,,,,BK,,,,,1,EA,53,,,EA,,53,EA,0,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,BK,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",320,BR,,,,,,,,1,EA,320,,,EA,2026-07-04 00:00:00,320,EA,0,,,,,본 사,,,인천선적,
,290,,,,,,,,,1,EA,290,,,EA,,290,EA,0,,,,,,,,,
,53,,,,,,,,,1,EA,53,,,EA,,53,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),320,BR,,,,,,,,1,EA,320,,,EA,,,EA,-320,,,,,대화라벨,,,,
,290,,,,,,,,,1,EA,290,,,EA,,,EA,-290,,,,,,,,,
,53,,,,,,,,,1,EA,53,,,EA,,,EA,-53,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",320,FREE,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,다 남,,,인천선적,
,290,,,,,,,,,1,EA,290,,,EA,,290,EA,0,,,,,,,,,
,53,,,,,,,,,1,EA,53,,,EA,,53,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",663,FREE,,,,,,,,1,EA,663,,,EA,2026-07-04 00:00:00,663,EA,0,,,,,본 사,,,인천선적,
품질보증택,663,FREE,,,,,,,,1,EA,663,,,EA,,663,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),663,FREE,,,,,,,,1,EA,663,,,EA,,663,EA,0,,,,,본 사,,,,
