MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM107Z,,,,,,QTY,1227,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,677,MG,,,,,,,,1,EA,677,,,EA,,677,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",550,BE,,,,,,,,1,SET,550,,,SET,,550,SET,0,,,,,다 남,,,,
,677,MG,,,,,,,,1,SET,677,,,SET,,677,SET,0,,,,,,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"비죠단추
BUTTON",550,BE,,,,,,18MM,,2,EA,1100,,,EA,,,EA,-1100,,,,,보타니,,,,
,677,MG,,,,,,,,2,EA,1354,,,EA,,,EA,-1354,,,,,,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"속단추
BUTTON",550,BE,,,,,,18MM,,1,EA,550,,,EA,,,EA,-550,,,,,보타니,,,,
,677,MG,,,,,,,,1,EA,677,,,EA,,,EA,-677,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"레터링테이프
LETTERING TAPE",550,BE,,,,,,45MM,,0.56,YD,308.00000000000006,,,EA,,,EA,-308.00000000000006,,,,,하나,,,,
,677,MG,,,,,,,,0.56,YD,379.12000000000006,,,EA,,,EA,-379.12000000000006,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"속이밴드
E-BAND
(폴리 이중직)",550,BE,,,,,,45Ф,,0.4,YD,220,,,EA,2026-07-04 00:00:00,250,EA,30,,,,,하나,,,인천선적,
,677,MG,,,,,,,,0.4,YD,270.8,,,EA,,300,EA,29.19999999999999,,,,,,,,,
,0,0,,,,,,,,0.4,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈)",550,BE,,,,,,50Ф,,0.52,EA,286,,,EA,,,EA,-286,,,,,보타니,,,,
,677,MG,,,,,,,,0.52,EA,352.04,,,EA,,,EA,-352.04,,,,,,,,,
