MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66SLM131Z,,,,,,QTY,1533,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"양면 지퍼
ZIPPER",768,LK,,,,,,"9""",,1,EA,768,,,EA,2026-01-23 00:00:00,768,EA,0,,,,,다 남,,,1/23 Ship Send,
,765,DG,,,,,,,,1,EA,765,,,EA,,765,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",768,LK,,,,,,,,1,SET,768,,,SET,,768,SET,0,,,,,다 남,,,,
,765,DG,,,,,,,,1,SET,765,,,SET,,765,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,768,LK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,765,DG,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,768,LK,,,,,,18MM,,1,EA,768,,,EA,2026-01-23 00:00:00,768,EA,0,,,,,보타니,,,1/23 Ship Send,
,765,DG,,,,,,,,1,EA,765,,,EA,,765,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",768,LK,,,,,,45MM,,0.56,YD,430.08000000000004,,,EA,2026-01-23 00:00:00,450,EA,19.91999999999996,,,,,하나,,,1/23 Ship Send,
,765,DG,,,,,,,,0.56,YD,428.40000000000003,,,EA,,450,EA,21.599999999999966,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",768,LK,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,765,DG,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
