MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB62SLM105Z,,,,,,QTY,1678,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BE,,240,230.0,54.0,,,국내,524,,,,,,,,,,,,,,,,,,,,
GR,,270,250.0,65.0,,,,585,,,,,,,,,,,,,,,,,,,,
BK,,260,250.0,59.0,,,,569,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-09-15 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,770,730.0,178.0,0,0.0,,1678,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-01-02 00:00:00,,,
라벨발주 1.02%,,785.4,744.6,181.56,0,0.0,,1711.56,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",524,BE,,,,,,"58""",정요척,1.59,Y,833.1600000000001,,,Y,2025-09-23 00:00:00,834,Y,0.8399999999999181,,,,,리원,,,09/23 China Ship Send,
,585,GR,,,,,,"56""",정요척,1.6,Y,936,,,Y,,937,Y,1,,,,,,,,,
,569,BK,,,,,,"58""",정요척,1.59,Y,904.71,,,Y,,905,Y,0.2899999999999636,,,,,,,,,
"(싸개패드)
다후다",524,BE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,585,GR,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",524,BE,,,,,,"58""",정요척,0.07,Y,36.68000000000001,,,Y,,,Y,-36.68000000000001,,,,,성 보,,,,
