MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB62SLM105Z,,,,,,QTY,1678,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,585,GR,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,569,BK,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
해리,주머니감",524,BE,,,,,,"44""",정요척,0.26,Y,136.24,,,Y,2025-09-26 00:00:00,137,Y,0.7599999999999909,,,,,성 보,,,09/26 Ship Send,
,585,GR,,,,,,,정요척,0.26,Y,152.1,,,Y,,153,Y,0.9000000000000057,,,,,,,,,
,569,BK,,,,,,,정요척,0.26,Y,147.94,,,Y,,148,Y,0.060000000000002274,,,,,,,,,
"심 지
INTERLINING
(M-250)",524,BE,,,,,,"58""",정요척,0.09,Y,47.16,,,Y,2025-09-26 00:00:00,47,Y,-0.1599999999999966,,,,,다경섬유,,,09/26 Ship Send,
,585,GR,,,,,,,정요척,0.09,Y,52.65,,,Y,,53,Y,0.3500000000000014,,,,,,,,,
,569,BK,,,,,,,정요척,0.09,Y,51.21,,,Y,,51,Y,-0.21000000000000085,,,,,,,,,
"심 지
INTERLINING
(M-252)",524,BE,,,,,,"44""",정요척,0.11,Y,57.64,,,Y,2025-09-26 00:00:00,58,R,0.35999999999999943,,,,,다경섬유,,,,
,585,GR,,,,,,,정요척,0.11,Y,64.35,,,Y,,64,R,-0.3499999999999943,,,,,,,,,
,569,BK,,,,,,,정요척,0.11,Y,62.59,,,Y,,63,R,0.4099999999999966,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",524,BE,,,,,,8MM,,1.8,Y,9.432,,,Y,,,R,-9.432,,,,,다 남,,,,
,585,GR,,,,,,,,1.8,Y,10.53,,,Y,,,R,-10.53,,,,,,,,,
,569,BK,,,,,,,,1.8,Y,10.242,,,Y,,,R,-10.242,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",524,BE,,,,,,10MM,,2.4,Y,25.151999999999997,,,Y,2025-09-26 00:00:00,26,R,0.8480000000000025,,,,,다 남,,,09/26 Ship Send,
,585,GR,,,,,,,,2.4,Y,28.08,,,Y,,29,R,0.9200000000000017,,,,,,,,,
,569,BK,,,,,,,,2.4,Y,27.311999999999998,,,Y,,28,R,0.6880000000000024,,,,,,,,,
"비바테이프
EDEG TAPE",524,BE,,,,,,10MM,,2.4,Y,25.151999999999997,,,Y,,,R,-25.151999999999997,,,,,다 남,,,,
,585,GR,,,,,,,,2.4,Y,28.08,,,Y,,,R,-28.08,,,,,,,,,
,569,BK,,,,,,,,2.4,Y,27.311999999999998,,,Y,,,R,-27.311999999999998,,,,,,,,,
"오바사
60S/3H
THREAD",524,BE,,,BE,,,4000M,,220,M,28.82,,,C,2025-09-26 00:00:00,29,C,0.17999999999999972,,,,,다 남,,,09/26 Ship Send,
,585,GR,,,GR,,,,,220,M,32.175,,,C,,33,C,0.8250000000000028,,,,,,,,,
,569,BK,,,BK,,,,,220,M,31.295,,,C,,32,C,0.7049999999999983,,,,,,,,,
"본봉사
코아사
45S/2H
THREAD",524,BE,,,BE,,,2500M,,130,M,27.248,,,C,,28,C,0.7519999999999989,,,,,다 남,,,,
,585,GR,,,GR,,,,,130,M,30.42,,,C,,31,C,0.5799999999999983,,,,,,,,,
,569,BK,,,BK,,,,,130,M,29.588,,,C,,30,C,0.41199999999999903,,,,,,,,,
"스쿠이사
45S/3H
THREAD
지누이도",524,BE,,,BE,,,4000M,,10,M,1.31,,,C,,2,C,0.69,,,,,다 남,,,,
,585,GR,,,GR,,,,,10,M,1.4625,,,C,,2,C,0.5375000000000001,,,,,,,,,
,569,BK,,,GR,,,,,10,M,1.4225,,,C,,2,C,0.5774999999999999,,,,,,,,,
오버장식,524,BE,,,,,,,,1,SET,524,,,SET,,,SET,-524,,,,,한일,,,,
,585,GR,,,,,,,,1,SET,585,,,SET,,,SET,-585,,,,,,,,,
,569,BK,,,,,,,,1,SET,569,,,SET,,,SET,-569,,,,,,,,,
"양면 지퍼
ZIPPER",524,BE,,,,,,"9""",,1,EA,524,,,EA,2025-09-26 00:00:00,524,EA,0,,,,,다 남,,,09/26 Ship Send,
,585,GR,,,,,,"9""",,1,EA,585,,,EA,,585,EA,0,,,,,,,,,
,569,BK,,,,,,"9""",,1,EA,569,,,EA,,569,EA,0,,,,,,,,,
"이단마이깡
HOOK",524,BE,,,,,,,,1,SET,524,,,SET,,,SET,-524,,,,,다 남,,,,
,585,GR,,,,,,,,1,SET,585,,,SET,,,SET,-585,,,,,,,,,
,569,BK,,,,,,,,1,SET,569,,,SET,,,SET,-569,,,,,,,,,
겉단추,524,BE,,,,,,21MM,,1,EA,524,,,EA,2025-10-29 00:00:00,524,EA,0,,,,,보타니,,,10/29 Ship Send,
,585,GR,,,,,,21MM,,1,EA,585,,,EA,,585,EA,0,,,,,,,,,
,569,BK,,,,,,21MM,,1,EA,569,,,EA,,569,EA,0,,,,,,,,,
속단추,524,BE,,,,,,18MM,,1,EA,524,,,EA,2025-10-29 00:00:00,524,EA,0,,,,,보타니,,,10/29 Ship Send,
,585,GR,,,,,,18MM,,1,EA,585,,,EA,,585,EA,0,,,,,,,,,
,569,BK,,,,,,18MM,,1,EA,569,,,EA,,569,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",524,BE,,,,,,40MM,,0.55,YD,288.20000000000005,,,EA,2025-09-26 00:00:00,300,EA,11.799999999999955,,,,,하나,,,09/26 Ship Send,
,585,GR,,,,,,,,0.55,YD,321.75,,,EA,,322,EA,0.25,,,,,,,,,
,569,BK,,,,,,,,0.55,YD,312.95000000000005,,,EA,,328,EA,15.049999999999955,,,,,,,,,
"단 추
후다, 뒤트임",524,BE,,,,,,18MM,,2,EA,1048,,,EA,,,EA,-1048,,,,,보타니,,,,
,585,GR,,,,,,,,2,EA,1170,,,EA,,,EA,-1170,,,,,,,,,
,569,BK,,,,,,,,2,EA,1138,,,EA,,,EA,-1138,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",770,,,,,,,,,1,EA,770,,,EA,2025-09-26 00:00:00,770,EA,0,,,,,본 사,,,09/26 Ship Send,
,730,,,,,,,,,1,EA,730,,,EA,,730,EA,0,,,,,,,,,
,178,,,,,,,,,1,EA,178,,,EA,,178,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",240,BE,,,,,,,,1,EA,240,,,EA,2025-09-26 00:00:00,240,EA,0,,,,,본 사,,,09/26 Ship Send,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,54,,,,,,,,,1,EA,54,,,EA,,54,EA,0,,,,,,,,,
,270,GR,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,65,,,,,,,,,1,EA,65,,,EA,,65,EA,0,,,,,,,,,
,260,BK,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,59,,,,,,,,,1,EA,59,,,EA,,59,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",240,BE,,,,,,,,1,EA,240,,,EA,2025-11-16 00:00:00,240,EA,0,,,,,대화라벨,,,11/16 Ship Send,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,54,,,,,,,,,1,EA,54,,,EA,,54,EA,0,,,,,,,,,
,270,GR,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,65,,,,,,,,,1,EA,65,,,EA,,65,EA,0,,,,,대화라벨,,,,
,260,BK,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,59,,,,,,,,,1,EA,59,,,EA,,59,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",770,FREE,,,,,,,,1,EA,770,,,EA,2025-09-26 00:00:00,770,EA,0,,,,,다 남,,,09/26 Ship Send,
,730,,,,,,,,,1,EA,730,,,EA,,730,EA,0,,,,,,,,,
,178,,,,,,,,,1,EA,178,,,EA,,178,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1678,FREE,,,,,,,,1,EA,1678,,,EA,2025-09-26 00:00:00,1678,EA,0,,,,,본 사,,,09/26 Ship Send,
품질보증택,1678,FREE,,,,,,,,1,EA,1678,,,EA,,1678,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1678,FREE,,,,,,,,1,EA,1678,,,EA,,1800,EA,122,,,,,,,,,
