MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66BLM127Z,,,,,,QTY,1366,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,802,BK,,,,,,,,2,EA,1604,,,EA,,1604,EA,0,,,,,,,,,
곤돌라 단추,564,KH,,,,,,8MM,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,1,EA,802,,,EA,,802,EA,0,,,,,,,,,
금속장식,564,KH,,,,,,,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,1,EA,802,,,EA,,802,EA,0,,,,,,,,,
스토퍼,564,KH,,,,,,,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,1,EA,802,,,EA,,802,EA,0,,,,,,,,,
"이단마이깡
HOOK",564,KH,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,802,BK,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",580,,,,,,,,,1,EA,580,,,EA,2026-01-23 00:00:00,580,EA,0,,,,,본 사,,,1/23 Ship Send,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,186,,,,,,,,,1,EA,186,,,EA,,186,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",240,KH,,,,,,,,1,EA,240,,,EA,2026-01-23 00:00:00,240,EA,0,,,,,본 사,,,1/23 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,74,,,,,,,,,1,EA,74,,,EA,,74,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,340,BK,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,112,,,,,,,,,1,EA,112,,,EA,,112,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),240,KH,,,,,,,,1,EA,240,,,EA,2026-01-23 00:00:00,240,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,74,,,,,,,,,1,EA,74,,,EA,,74,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,340,BK,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,112,,,,,,,,,1,EA,112,,,EA,,112,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",580,FREE,,,,,,,,1,EA,580,,,EA,2026-01-23 00:00:00,580,EA,0,,,,,다 남,,,1/23 Ship Send,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,186,,,,,,,,,1,EA,186,,,EA,,186,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1366,FREE,,,,,,,,1,EA,1366,,,EA,2026-01-23 00:00:00,1366,EA,0,,,,,본 사,,,1/23 Ship Send,
품질보증택,1366,FREE,,,,,,,,1,EA,1366,,,EA,,1366,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1366,FREE,,,,,,55*85,,1,EA,1366,,,EA,,1400,EA,34,,,,,본 사,,,,
