MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMS107A,,,,,,QTY,1346,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
LB,,230,176.0,,,,국내,406,,,,,,,,,,,,,,,,,,,,
CO,,265,220.0,,,,,485,,,,,,,,,,,,,,,,,,,,
CC,,235,220.0,,,,,455,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-06 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,730,616.0,0.0,0,0.0,,1346,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,744.6,628.32,0.0,0,0.0,,1372.92,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
"QQ사
45S/2H               THREAD",406,LB,,,,,,2500M,,10,M,1.624,,,C,,2,C,0.3759999999999999,,,,,다 남,,,,
,485,CO,,,,,,,,10,M,1.94,,,C,,22,C,20.06,,,,,,,,,
,455,CC,,,,,,,,10,M,1.82,,,C,,2,C,0.17999999999999994,,,,,,,,,
"오바사(가당사)
60S/3H               THREAD",406,LB,,,,,,4000M,,350,M,35.525,,,C,,36,C,0.4750000000000014,,,,,다 남,,,,
,485,CO,,,,,,,,350,M,42.4375,,,C,,43,C,0.5625,,,,,,,,,
,455,CC,,,,,,,,350,M,39.8125,,,C,,40,C,0.1875,,,,,,,,,
"지누이도
45S/3H               THREAD",406,LB,,,LB,,,6000M,,10,M,0.6766666666666666,,,C,,,C,-0.6766666666666666,,,,,다 남,,,,
,485,CO,,,CO,,,,,10,M,0.8083333333333333,,,C,,,C,-0.8083333333333333,,,,,,,,,
싸개PAD,406,LB,,,,,,2MM,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,485,CO,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,406,LB,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,485,CO,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",406,LB,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,다 남,,,,
,485,CO,,,,,,"9""",,,EA,0,,,EA,,,EA,0,,,,,,,,,
스토퍼,406,LB,,,,,,,,2,EA,812,,,,,,Y,-812,,,,,보타니,,,,
,485,CO,,,,,,,,2,EA,970,,,,,,Y,-970,,,,,,,,,
겉단추,406,LB,,,,,,23MM,,5,EA,2030,,,EA,2026-03-20 00:00:00,2030,EA,0,,,,,보타니,,,3/20 Ship Send,
,485,CO,,,,,,,,5,EA,2425,,,EA,,2425,EA,0,,,,,,,,,
,455,CC,,,,,,,,5,EA,2275,,,EA,,2275,EA,0,,,,,,,,,
속단추,406,LB,,,,,,18MM,,2,EA,812,,,EA,2026-03-20 00:00:00,812,EA,0,,,,,보타니,,,3/20 Ship Send,
,485,CO,,,,,,,,2,EA,970,,,EA,,970,EA,0,,,,,,,,,
,455,CC,,,,,,,,2,EA,910,,,EA,,910,EA,0,,,,,,,,,
골테잎(폴리),406,LB,,,,,,,,0.8,Y,324.8,,,Y,2026-03-20 00:00:00,360,Y,35.19999999999999,,,,,하나,,,3/20 Ship Send,
,485,CO,,,,,,,,0.8,Y,388,,,Y,,430,Y,42,,,,,,,,,
,455,CC,,,,,,,,0.8,Y,364,,,Y,,400,Y,36,,,,,,,,,
금속 앞단추,406,LB,,,,,,21MM,,4,SET,1624,,,EA,,,EA,-1624,,,,,보타니,,,,
,485,CO,,,,,,21MM,,4,SET,1940,,,EA,,,EA,-1940,,,,,,,,,
"이단마이깡
HOOK",406,LB,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,다 남,,,,
,485,CO,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
E-BAND,406,LB,,,,,,45MM,,0.96,YD,389.76,,,EA,,,EA,-389.76,,,,,하나,,,,
,485,CO,,,,,,,,0.96,YD,465.59999999999997,,,EA,,,EA,-465.59999999999997,,,,,,,,,
"단 추
후다, 뒤트임",406,LB,,,,,,18MM,,2,EA,812,,,EA,,,EA,-812,,,,,보타니,,,,
,485,CO,,,,,,,,2,EA,970,,,EA,,,EA,-970,,,,,,,,,
E-스트링,406,,,,,,,,,1.2,Y,487.2,,,,,,Y,-487.2,,,,,한일,,,,
,485,,,,,,,,,1.2,Y,582,,,,,,Y,-582,,,,,,,,,
핸드메이드 라벨,1346,FREE,,,,,,,,1,EA,1346,,,EA,2026-02-11 00:00:00,1346,EA,0,,,,,본 사,,,02/11 Ship Send,
구스택,1346,FREE,,,,,,,,1,EA,1346,,,EA,2026-04-15 00:00:00,1346,EA,0,,,,,본 사,,,04/15 Ship Send,
"MAIN+SIZE
LABEL
메인라벨",730,,,,,,,,,1,EA,730,,,EA,2026-02-11 00:00:00,730,EA,0,,,,,본 사,,,02/11 Ship Send,
,616,,,,,,,,,1,EA,616,,,EA,,616,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
