MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM114Z,,,,,,QTY,1379,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,수납컨펌일,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DE,,266,260.0,70.0,,,국내,596,,,,,,,,,,,,,,,,,,,,
DG,,343,340.0,100.0,,,,783,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,609,600.0,170.0,0,0.0,,1379,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-16 00:00:00,,,
라벨발주 1.02%,,621.1800000000001,612.0,173.4,0,0.0,,1406.58,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",596,DE,,,,,,"55""",정요척,1.58,Y,941.6800000000001,,,Y,2026-06-27 00:00:00,775,Y,-166.68000000000006,,,,,르카이,,,"중국선적(예), DE 167, DG 218 SHORT",
,783,DG,,,,,,,정요척,1.58,Y,1237.14,,,Y,,1019,Y,-218.1400000000001,,,,,,,,,
,0,0,,,,,,,정요척,1.58,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",596,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,783,DG,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"오비미까시배색
COMBINATION",596,DE,,,,,,"58""",정요척,0.04,Y,23.84,,,Y,2026-07-18 00:00:00,24,Y,0.16000000000000014,,,,,성 보,,,인천선적,
,783,DG,,,,,,,정요척,0.04,Y,31.32,,,Y,2026-07-04 00:00:00,32,Y,0.6799999999999997,,,,,,,,,
