MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM114Z,,,,,,QTY,1379,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,0,0,,,,,,,정요척,0.04,Y,0,,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
오비해리, 미카시,주머니감",596,DE,,,,,,"44""",정요척,0.26,Y,154.96,,,Y,2026-07-04 00:00:00,155,Y,0.03999999999999204,,,,,성 보,,,,
,783,DG,,,,,,,정요척,0.26,Y,203.58,,,Y,,204,Y,0.4199999999999875,,,,,,,,,
,0,0,,,,,,,정요척,0.26,Y,0,,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
해리,주머니감",596,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
,783,DG,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)
몸판용",596,DE,,,,,,"58""",정요척,0.09,Y,53.64,,,Y,2026-07-04 00:00:00,54,Y,0.35999999999999943,,,,,다경섬유,,,인천선적,
,783,DG,,,,,,,정요척,0.09,Y,70.47,,,Y,,70,Y,-0.46999999999999886,,,,,,,,,
,0,0,,,,,,,정요척,0.09,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)
오비용",596,DE,,,,,,"44""",정요척,0.1,Y,59.6,,,Y,2026-07-04 00:00:00,60,R,0.3999999999999986,,,,,다경섬유,,,,
,783,DG,,,,,,,정요척,0.1,Y,78.30000000000001,,,Y,,78,R,-0.30000000000001137,,,,,,,,,
,0,0,,,,,,,정요척,0.1,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",596,DE,,,,,,8MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,783,DG,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"(면) 다데테이프
EDEG TAPE
앞오비, 주머니입구",596,DE,,,,,,10MM,,2.4,Y,28.607999999999997,,,Y,2026-07-04 00:00:00,29,R,0.392000000000003,,,,,다 남,,,,
,783,DG,,,,,,,,2.4,Y,37.583999999999996,,,Y,,38,R,0.4160000000000039,,,,,,,,,
,0,0,,,,,,,,2.4,Y,0,,,Y,,,R,0,,,,,,,,,
"비바테이프
EDEG TAPE",596,DE,,,,,,10MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,783,DG,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"본봉사
코아사
45S/2H
THREAD",596,DE,,,DE,,,2500M,,130,M,30.992,,,C,2026-07-04 00:00:00,31,C,0.007999999999999119,,,,,다 남,,,인천선적,
,783,DG,,,DG,,,,,130,M,40.716,,,C,,41,C,0.2839999999999989,,,,,,,,,
,0,0,,,0,,,,,130,M,0,,,C,,,C,0,,,,,,,,,
"오바사
60S/3H
THREAD",596,DE,,,DE,,,4000M,,220,M,32.78,,,C,,33,C,0.21999999999999886,,,,,다 남,,,,
,783,DG,,,DG,,,,,220,M,43.065,,,C,,44,C,0.9350000000000023,,,,,,,,,
,0,0,,,0,,,,,220,M,0,,,C,,,C,0,,,,,,,,,
"스쿠이사
THREAD
",596,DE,,,DE,,,4000M,,10,M,1.49,,,C,,2,C,0.51,,,,,다 남,,,,
,783,DG,,,DG,,,,,10,M,1.9575,,,C,,2,C,0.04249999999999998,,,,,,,,,
,0,0,,,DG,,,,,10,M,0,,,C,,,C,0,,,,,,,,,
"금속장식
METAL DECORATION",596,DE,,,12K골드,,,,,1,EA,596,,,SET,,,SET,-596,,,,,한일,,,,
,783,DG,,,흑니켈,,,,,1,EA,783,,,SET,,,SET,-783,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",596,DE,,,,,,"9""",,1,EA,596,,,EA,2026-07-04 00:00:00,596,EA,0,,,,,다 남,,,인천선적,
,783,DG,,,,,,,,1,EA,783,,,EA,,783,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",596,DE,,,,,,,,1,SET,596,,,SET,,596,SET,0,,,,,다 남,,,,
,783,DG,,,,,,,,1,SET,783,,,SET,,783,SET,0,,,,,,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"비죠단추
BUTTON",596,DE,,,,,,18MM,,2,EA,1192,,,EA,,,EA,-1192,,,,,보타니,,,,
,783,DG,,,,,,,,2,EA,1566,,,EA,,,EA,-1566,,,,,,,,,
,0,0,,,,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"속단추
BUTTON",596,DE,,,,,,18MM,,1,EA,596,,,EA,,,EA,-596,,,,,보타니,,,,
,783,DG,,,,,,,,1,EA,783,,,EA,,,EA,-783,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"레터링테이프
LETTERING TAPE",596,DE,,,,,,45MM,,0.56,YD,333.76000000000005,,,EA,,,EA,-333.76000000000005,,,,,하나,,,,
,783,DG,,,,,,,,0.56,YD,438.48,,,EA,,,EA,-438.48,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"속이밴드
E-BAND
(폴리 이중직)",596,DE,,,,,,45Ф,,0.4,YD,238.4,,,EA,,,EA,-238.4,,,,,하나,,,,
,783,DG,,,,,,,,0.4,YD,313.20000000000005,,,EA,,,EA,-313.20000000000005,,,,,,,,,
,0,0,,,,,,,,0.4,YD,0,,,EA,,,EA,0,,,,,,,,,
"이밴드
E-BAND
뒤오비",596,DE,,,,,,40Ф,,0.48,EA,286.08,,,EA,2026-07-04 00:00:00,300,EA,13.920000000000016,,,,,하나,,,인천해출항(예),
,783,DG,,,,,,,,0.48,EA,375.84,,,EA,,400,EA,24.160000000000025,,,,,,,,,
,0,0,,,,,,,,0.48,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",609,,,,,,,사각/중,,1,EA,609,,,EA,2026-07-18 00:00:00,609,EA,0,,,,,본 사,,,인천선적,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,170,,,,,,,,,1,EA,170,,,EA,,170,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어라벨
MDM-13",266,DE,,,,,,,,1,EA,266,,,EA,2026-07-18 00:00:00,266,EA,0,,,,,본 사,,,인천선적,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,70,EA,0,,,,,,,,,
,343,DG,,,,,,,,1,EA,343,,,EA,,343,EA,0,,,,,,,,,
,340,,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,100,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",266,DE,,,,,,,,1,EA,266,,,EA,,,EA,-266,,,,,대화라벨,,,,
,260,,,,,,,,,1,EA,260,,,EA,,,EA,-260,,,,,,,,,
,70,,,,,,,,,1,EA,70,,,EA,,,EA,-70,,,,,,,,,
,343,DG,,,,,,,,1,EA,343,,,EA,,,EA,-343,,,,,,,,,
,340,,,,,,,,,1,EA,340,,,EA,,,EA,-340,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",609,FREE,,,,,,,,1,EA,609,,,EA,2026-07-18 00:00:00,609,EA,0,,,,,다 남,,,인천선적,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,170,,,,,,,,,1,EA,170,,,EA,,170,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1379,FREE,,,,,,,,1,EA,1379,,,EA,2026-07-18 00:00:00,1379,EA,0,,,,,본 사,,,인천선적,
품질보증택,1379,FREE,,,,,,,,1,EA,1379,,,EA,,1379,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1379,FREE,,,,,,46*120,,1,EA,1379,,,EA,2026-07-04 00:00:00,1379,EA,0,,,,,,,,,
