MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SLM101A,,,,,,QTY,1457,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"양면 지퍼
ZIPPER",729,DE,,,,,,"9""",,1,EA,729,,,EA,2026-03-20 00:00:00,729,EA,0,,,,,다 남,,,3/20 Ship Send,
,728,BK,,,,,,,,1,EA,728,,,EA,,728,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",729,DE,,,,,,,,1,SET,729,,,SET,,729,SET,0,,,,,다 남,,,,
,728,BK,,,,,,,,1,SET,728,,,SET,,728,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,729,DE,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,728,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,729,DE,,,,,,18MM,,1,EA,729,,,EA,2026-03-20 00:00:00,729,EA,0,,,,,보타니,,,3/20 Ship Send,
,728,BK,,,,,,,,1,EA,728,,,EA,,728,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",729,DE,,,,,,45MM,,0.56,YD,408.24000000000007,,,EA,,,EA,-408.24000000000007,,,,,하나,,,,
,728,BK,,,,,,,,0.56,YD,407.68000000000006,,,EA,,,EA,-407.68000000000006,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",729,DE,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,728,BK,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",729,DE,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,728,BK,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",610,,,,,,,,,1,EA,610,,,EA,2026-03-20 00:00:00,610,EA,0,,,,,본 사,,,3/20 Ship Send,
,640,,,,,,,,,1,EA,640,,,EA,,640,EA,0,,,,,,,,,
,207,,,,,,,,,1,EA,207,,,EA,,207,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",310,DE,,,,,,,,1,EA,310,,,EA,2026-03-20 00:00:00,310,EA,0,,,,,본 사,,,3/20 Ship Send,
,320,,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,99,,,,,,,,,1,EA,99,,,EA,,99,EA,0,,,,,,,,,
,300,BK,,,,,,,,1,EA,300,,,EA,,300,EA,0,,,,,,,,,
,320,,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,108,,,,,,,,,1,EA,108,,,EA,,108,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",310,DE,,,,,,,,1,EA,310,,,EA,2026-05-12 00:00:00,310,EA,0,,,,,대화라벨,,,5/12 H/Carry Send,
,320,,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,99,,,,,,,,,1,EA,99,,,EA,,99,EA,0,,,,,,,,,
,300,BK,,,,,,,,1,EA,300,,,EA,,300,EA,0,,,,,,,,,
,320,,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,108,,,,,,,,,1,EA,108,,,EA,,108,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",610,FREE,,,,,,,,1,EA,610,,,EA,2026-03-20 00:00:00,610,EA,0,,,,,다 남,,,3/20 Ship Send,
,640,,,,,,,,,1,EA,640,,,EA,,640,EA,0,,,,,,,,,
,207,,,,,,,,,1,EA,207,,,EA,,207,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1457,FREE,,,,,,,,1,EA,1457,,,EA,2026-03-20 00:00:00,1457,EA,0,,,,,본 사,,,3/20 Ship Send,
품질보증택,1457,FREE,,,,,,,,1,EA,1457,,,EA,,1457,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1457,FREE,,,,,,46*120,,1,EA,1457,,,EA,,1500,EA,43,,,,,,,,,
