MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM115Z,,,,,,QTY,"1,966 ",,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,,,,
,625 ,BR,,,BR,,,,,220 ,M,34 ,,,C,,34 ,C,-0.4 ,,,,,,,,,,,,
,727 ,DG,,,DG,,,,,220 ,M,40 ,,,C,,40 ,C,0.0 ,,,,,,,,,,,,
"스쿠이사
THREAD
",614 ,DE,,,DE,,,4000M,,10 ,M,2 ,,,C,,2 ,C,0.5 ,,,,,다 남,,,,,,,
,625 ,BR,,,BR,,,,,10 ,M,2 ,,,C,,2 ,C,0.4 ,,,,,,,,,,,,
,727 ,DG,,,BR,,,,,10 ,M,2 ,,,C,,2 ,C,0.2 ,,,,,,,,,,,,
"금속장식
METAL DECORATION
오비아래",614 ,DE,,,,,,,,1 ,EA,614 ,,,SET,,,SET,-614.0 ,,,,,한일,,,,,,,
,625 ,BR,,,,,,,,1 ,EA,625 ,,,SET,,,SET,-625.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,1 ,EA,727 ,,,SET,,,SET,-727.0 ,,,,,,,,,,,,
"양면 지퍼
ZIPPER",614 ,DE,,,,,,"9""",,1 ,EA,614 ,,,EA,7/4,614 ,EA,0.0 ,,,,,다 남,,,인천선적,,,,
,625 ,BR,,,,,,,,1 ,EA,625 ,,,EA,,625 ,EA,0.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,1 ,EA,727 ,,,EA,,,EA,-727.0 ,,,,,,,,,,,,
"이단마이깡
HOOK",614 ,DE,,,,,,,,1 ,SET,614 ,,,SET,7/4,614 ,SET,0.0 ,,,,,다 남,,,,,,,
,625 ,BR,,,,,,,,1 ,SET,625 ,,,SET,,625 ,SET,0.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,1 ,SET,727 ,,,SET,,,SET,-727.0 ,,,,,,,,,,,,
"비죠단추
BUTTON",614 ,DE,,,,,,18MM,,2 ,EA,1228 ,,,EA,,,EA,-1228.0 ,,,,,보타니,,,,,,,
